,DeathCause,Percentage
0,Coronary Heart Disease,26.02
1,Stroke,9.46
2,Alzheimers & Dementia,6.72
3,Road Traffic Accidents,5.74
4,Influenza and Pneumonia,5.12
5,Diabetes Mellitus,4.92
6,Kidney Disease,4.26
7,Low Birth Weight,2.93
8,Congenital Anomalies,2.58
9,Lung Disease,2.36
10,Liver Disease,2.18
11,Birth Trauma,2.02
12,Breast Cancer,1.91
13,Tuberculosis,1.85
14,Lung Cancers,1.65
15,Colon-Rectum Cancers,1.42
16,Hypertension,1.27
17,Lymphomas,1.10
18,Violence,1.00
19,Stomach Cancer,0.97
20,Diarrhoeal diseases,0.93
21,Other Injuries,0.91
22,Endocrine Disorders,0.89
23,Inflammatory/Heart,0.86
24,Leukemia,0.78
25,Falls,0.77
26,Suicide,0.76
27,Asthma,0.65
28,Maternal Conditions,0.57
29,Parkinson's Disease,0.55
30,Oral Cancer,0.55
31,Bladder Cancer,0.49
32,Drownings,0.42
33,Prostate Cancer,0.42
34,Fires,0.40
35,Other Neoplasms,0.40
36,Ovary Cancer,0.38
37,Skin Disease,0.35
38,Pancreas Cancer,0.34
39,Cervical Cancer,0.33
40,Peptic Ulcer Disease,0.29
41,Liver Cancer,0.29
42,Epilepsy,0.26
43,Drug Use,0.23
44,Meningitis,0.23
45,Rheumatic Heart Disease,0.22
46,Poisonings,0.18
47,Hepatitis B,0.13
48,Oesophagus Cancer,0.11
49,HIV/AIDS,0.10
