,DeathCause,Percentage
0,Coronary Heart Disease,27.21
1,Stroke,11.25
2,Road Traffic Accidents,6.29
3,Diabetes Mellitus,5.09
4,Kidney Disease,5.07
5,Lung Disease,3.57
6,Other Injuries,3.09
7,Influenza and Pneumonia,2.56
8,Violence,2.53
9,Alzheimers & Dementia,2.38
10,Liver Disease,1.94
11,Suicide,1.86
12,Falls,1.85
13,Congenital Anomalies,1.84
14,Lung Cancers,1.46
15,Inflammatory/Heart,1.40
16,Lymphomas,1.33
17,Asthma,1.30
18,Low Birth Weight,1.26
19,Breast Cancer,1.22
20,Colon-Rectum Cancers,1.21
21,Hypertension,0.99
22,Endocrine Disorders,0.91
23,Rheumatic Heart Disease,0.86
24,Stomach Cancer,0.80
25,Drug Use,0.80
26,Leukemia,0.79
27,Liver Cancer,0.71
28,Drownings,0.68
29,Meningitis,0.63
30,Fires,0.60
31,Pancreas Cancer,0.53
32,Oral Cancer,0.50
33,Epilepsy,0.48
34,Ovary Cancer,0.44
35,Birth Trauma,0.40
36,Oesophagus Cancer,0.40
37,Prostate Cancer,0.30
38,Tuberculosis,0.28
39,Parkinson's Disease,0.27
40,Cervical Cancer,0.27
41,Peptic Ulcer Disease,0.27
42,Diarrhoeal diseases,0.24
43,Alcohol,0.23
44,Bladder Cancer,0.22
45,Skin Disease,0.21
46,Poisonings,0.17
47,Skin Cancers,0.17
48,Tetanus,0.16
49,Hepatitis B,0.14
