,DeathCause,Percentage
0,Coronary Heart Disease,18.24
1,Influenza and Pneumonia,12.51
2,Lung Disease,7.91
3,Stroke,7.88
4,Kidney Disease,4.12
5,Lung Cancers,3.87
6,Diabetes Mellitus,3.53
7,Colon-Rectum Cancers,3.36
8,Breast Cancer,2.65
9,Other Injuries,2.60
10,Road Traffic Accidents,2.31
11,Prostate Cancer,1.72
12,Pancreas Cancer,1.68
13,Suicide,1.54
14,Liver Disease,1.51
15,Inflammatory/Heart,1.45
16,Alzheimers & Dementia,1.44
17,Hypertension,1.44
18,Endocrine Disorders,1.36
19,Stomach Cancer,1.35
20,Other Neoplasms,1.16
21,Congenital Anomalies,1.12
22,Encephalitis,1.05
23,Violence,1.05
24,Lymphomas,1.03
25,Low Birth Weight,0.88
26,Cervical Cancer,0.88
27,Skin Disease,0.86
28,Leukemia,0.84
29,Oesophagus Cancer,0.81
30,Liver Cancer,0.78
31,Bladder Cancer,0.63
32,HIV/AIDS,0.61
33,Ovary Cancer,0.49
34,Oral Cancer,0.41
35,Skin Cancers,0.41
36,Malnutrition,0.39
37,Uterin Cancer,0.34
38,Parkinson's Disease,0.33
39,Drug Use,0.32
40,Asthma,0.29
41,Alcohol,0.27
42,Tuberculosis,0.25
43,Anemia,0.24
44,Chagas disease,0.19
45,Diarrhoeal diseases,0.18
46,Peptic Ulcer Disease,0.17
47,Drownings,0.17
48,Maternal Conditions,0.16
49,Fires,0.15
