,DeathCause,Percentage
0,Coronary Heart Disease,17.52
1,Alzheimers & Dementia,10.80
2,Stroke,7.99
3,Lung Disease,6.58
4,Lung Cancers,6.38
5,Colon-Rectum Cancers,4.45
6,Diabetes Mellitus,3.53
7,Influenza and Pneumonia,2.89
8,Prostate Cancer,2.64
9,Breast Cancer,2.47
10,Suicide,2.37
11,Lymphomas,2.15
12,Pancreas Cancer,2.02
13,Kidney Disease,1.94
14,Falls,1.90
15,Skin Cancers,1.81
16,Endocrine Disorders,1.69
17,Leukemia,1.45
18,Parkinson's Disease,1.40
19,Liver Cancer,1.31
20,Other Injuries,1.30
21,Liver Disease,1.22
22,Inflammatory/Heart,1.12
23,Oesophagus Cancer,1.06
24,Hypertension,1.00
25,Stomach Cancer,0.99
26,Other Neoplasms,0.97
27,Road Traffic Accidents,0.92
28,Bladder Cancer,0.90
29,Drug Use,0.87
30,Ovary Cancer,0.74
31,Oral Cancer,0.70
32,Congenital Anomalies,0.54
33,Skin Disease,0.39
34,Asthma,0.36
35,Uterin Cancer,0.31
36,Alcohol,0.31
37,Rheumatic Heart Disease,0.29
38,Cervical Cancer,0.28
39,Diarrhoeal diseases,0.22
40,Encephalitis,0.22
41,Epilepsy,0.22
42,Violence,0.20
43,Peptic Ulcer Disease,0.20
44,Low Birth Weight,0.18
45,Rheumatoid Arthritis,0.16
46,Drownings,0.15
47,Multiple Sclerosis,0.14
48,Anemia,0.13
49,Osteoarthritis,0.10
