,DeathCause,Percentage
0,Coronary Heart Disease,27.82
1,Stroke,6.80
2,Lung Cancers,5.88
3,Lung Disease,5.14
4,Diabetes Mellitus,4.87
5,Alzheimers & Dementia,3.90
6,Hypertension,3.68
7,Colon-Rectum Cancers,3.30
8,Kidney Disease,2.72
9,Breast Cancer,2.52
10,Pancreas Cancer,2.49
11,Liver Disease,2.29
12,Inflammatory/Heart,1.96
13,Suicide,1.95
14,Prostate Cancer,1.89
15,Other Injuries,1.86
16,Lymphomas,1.68
17,Influenza and Pneumonia,1.65
18,Endocrine Disorders,1.46
19,Parkinson's Disease,1.32
20,Falls,1.27
21,Stomach Cancer,1.21
22,Liver Cancer,1.20
23,Leukemia,1.15
24,Other Neoplasms,1.09
25,Bladder Cancer,0.91
26,Oral Cancer,0.91
27,Ovary Cancer,0.76
28,Skin Cancers,0.76
29,Road Traffic Accidents,0.62
30,Oesophagus Cancer,0.58
31,Alcohol,0.57
32,Congenital Anomalies,0.41
33,Rheumatic Heart Disease,0.41
34,Uterin Cancer,0.34
35,Drug Use,0.29
36,Cervical Cancer,0.25
37,Peptic Ulcer Disease,0.24
38,Multiple Sclerosis,0.23
39,Epilepsy,0.21
40,Encephalitis,0.21
41,Diarrhoeal diseases,0.20
42,Skin Disease,0.11
43,Tuberculosis,0.10
44,Asthma,0.10
45,Anemia,0.08
46,Low Birth Weight,0.07
47,Violence,0.07
48,Drownings,0.06
49,Rheumatoid Arthritis,0.06
