,DeathCause,Percentage
0,Stroke,15.31
1,Coronary Heart Disease,15.23
2,Tuberculosis,8.47
3,Lung Disease,8.34
4,Influenza and Pneumonia,4.10
5,Diarrhoeal diseases,4.00
6,Diabetes Mellitus,3.61
7,Liver Disease,2.98
8,Road Traffic Accidents,2.68
9,Low Birth Weight,2.58
10,Kidney Disease,2.18
11,Oral Cancer,2.07
12,Birth Trauma,1.92
13,Asthma,1.89
14,Alzheimers & Dementia,1.85
15,Lung Cancers,1.71
16,Oesophagus Cancer,1.67
17,Drownings,1.60
18,Congenital Anomalies,1.38
19,Suicide,1.23
20,Hypertension,1.09
21,Other Injuries,1.07
22,Breast Cancer,0.99
23,Malnutrition,0.85
24,Cervical Cancer,0.83
25,Rheumatic Heart Disease,0.83
26,Stomach Cancer,0.78
27,Falls,0.65
28,Maternal Conditions,0.64
29,Violence,0.62
30,Peptic Ulcer Disease,0.60
31,Endocrine Disorders,0.49
32,Colon-Rectum Cancers,0.46
33,Epilepsy,0.41
34,Liver Cancer,0.40
35,Lymphomas,0.36
36,Skin Disease,0.36
37,Ovary Cancer,0.31
38,Hepatitis B,0.30
39,Leukemia,0.26
40,Syphilis,0.24
41,Meningitis,0.23
42,Other Neoplasms,0.23
43,Inflammatory/Heart,0.22
44,Fires,0.22
45,Encephalitis,0.18
46,Parkinson's Disease,0.18
47,Drug Use,0.17
48,Appendicitis,0.15
49,Bladder Cancer,0.15
