,DeathCause,Percentage
0,Coronary Heart Disease,13.11
1,Stroke,12.13
2,Diabetes Mellitus,10.38
3,Influenza and Pneumonia,10.02
4,Prostate Cancer,5.99
5,Colon-Rectum Cancers,4.18
6,Alzheimers & Dementia,3.78
7,Breast Cancer,3.12
8,Endocrine Disorders,3.09
9,Hypertension,2.58
10,Other Injuries,2.51
11,Kidney Disease,2.32
12,Lung Disease,2.07
13,Lymphomas,1.78
14,Lung Cancers,1.56
15,Inflammatory/Heart,1.38
16,Pancreas Cancer,1.38
17,HIV/AIDS,1.38
18,Violence,1.05
19,Stomach Cancer,1.02
20,Leukemia,0.98
21,Encephalitis,0.91
22,Road Traffic Accidents,0.91
23,Other Neoplasms,0.91
24,Liver Disease,0.87
25,Cervical Cancer,0.87
26,Uterin Cancer,0.80
27,Congenital Anomalies,0.76
28,Oral Cancer,0.65
29,Asthma,0.58
30,Parkinson's Disease,0.58
31,Skin Disease,0.54
32,Prostatic Hypertrophy,0.54
33,Ovary Cancer,0.51
34,Liver Cancer,0.51
35,Peptic Ulcer Disease,0.51
36,Oesophagus Cancer,0.40
37,Anemia,0.36
38,Bladder Cancer,0.33
39,Epilepsy,0.33
40,Falls,0.25
41,Low Birth Weight,0.25
42,Diarrhoeal diseases,0.22
43,Birth Trauma,0.22
44,Rheumatoid Arthritis,0.18
45,Alcohol,0.15
46,Meningitis,0.15
47,Skin Cancers,0.15
48,Hepatitis B,0.07
49,Suicide,0.07
