,DeathCause,Percentage
0,Coronary Heart Disease,14.15
1,HIV/AIDS,9.76
2,Diabetes Mellitus,8.78
3,Stroke,7.35
4,Influenza and Pneumonia,5.92
5,Violence,5.92
6,Kidney Disease,4.61
7,Road Traffic Accidents,3.73
8,Liver Disease,3.13
9,Lung Disease,2.47
10,Alzheimers & Dementia,2.47
11,Hypertension,2.36
12,Prostate Cancer,2.30
13,Lung Cancers,2.08
14,Low Birth Weight,1.76
15,Other Injuries,1.65
16,Congenital Anomalies,1.59
17,Liver Cancer,1.43
18,Inflammatory/Heart,1.26
19,Colon-Rectum Cancers,1.26
20,Cervical Cancer,1.04
21,Endocrine Disorders,0.99
22,Stomach Cancer,0.99
23,Drownings,0.93
24,Suicide,0.93
25,Breast Cancer,0.88
26,Birth Trauma,0.77
27,Leukemia,0.77
28,Lymphomas,0.71
29,Other Neoplasms,0.60
30,Pancreas Cancer,0.55
31,Falls,0.49
32,Malnutrition,0.49
33,Tuberculosis,0.44
34,Diarrhoeal diseases,0.44
35,Alcohol,0.38
36,Oral Cancer,0.38
37,Skin Disease,0.38
38,Peptic Ulcer Disease,0.33
39,Rheumatic Heart Disease,0.33
40,Asthma,0.27
41,Bladder Cancer,0.27
42,Epilepsy,0.27
43,Oesophagus Cancer,0.27
44,Skin Cancers,0.22
45,Parkinson's Disease,0.22
46,Fires,0.22
47,Uterin Cancer,0.22
48,Ovary Cancer,0.22
49,Maternal Conditions,0.16
