,DeathCause,Percentage
0,Influenza and Pneumonia,13.39
1,Diarrhoeal diseases,9.89
2,Malaria,7.21
3,Coronary Heart Disease,6.42
4,Stroke,5.81
5,Low Birth Weight,5.71
6,Birth Trauma,4.32
7,Road Traffic Accidents,3.72
8,Malnutrition,3.51
9,Meningitis,2.98
10,Congenital Anomalies,2.91
11,HIV/AIDS,2.74
12,Endocrine Disorders,2.63
13,Liver Disease,2.52
14,Other Injuries,2.01
15,Diabetes Mellitus,1.75
16,Lung Disease,1.72
17,Kidney Disease,1.65
18,Maternal Conditions,1.56
19,Suicide,1.24
20,Tuberculosis,1.21
21,Alzheimers & Dementia,1.03
22,Falls,1.01
23,Drownings,0.99
24,Violence,0.80
25,Asthma,0.76
26,Liver Cancer,0.74
27,Breast Cancer,0.73
28,Hypertension,0.68
29,Fires,0.64
30,Peptic Ulcer Disease,0.54
31,Epilepsy,0.47
32,Schistosomiasis,0.46
33,Poisonings,0.44
34,Inflammatory/Heart,0.44
35,Cervical Cancer,0.44
36,Prostate Cancer,0.39
37,Rheumatic Heart Disease,0.37
38,Hepatitis B,0.37
39,Measles,0.35
40,Skin Disease,0.29
41,Colon-Rectum Cancers,0.25
42,Syphilis,0.24
43,Other Neoplasms,0.24
44,Appendicitis,0.22
45,Lymphomas,0.20
46,Drug Use,0.19
47,Tetanus,0.18
48,Alcohol,0.17
49,Stomach Cancer,0.16
