,DeathCause,Percentage
0,Coronary Heart Disease,15.60
1,Stroke,10.09
2,Influenza and Pneumonia,8.39
3,Diabetes Mellitus,5.93
4,Violence,5.89
5,Lung Disease,5.61
6,Road Traffic Accidents,3.96
7,Lung Cancers,2.71
8,Kidney Disease,2.38
9,Liver Disease,2.30
10,Alzheimers & Dementia,2.20
11,Colon-Rectum Cancers,1.89
12,Hypertension,1.87
13,Breast Cancer,1.73
14,Inflammatory/Heart,1.72
15,Stomach Cancer,1.65
16,Prostate Cancer,1.62
17,Falls,1.48
18,Endocrine Disorders,1.47
19,HIV/AIDS,1.32
20,Other Injuries,1.23
21,Suicide,1.22
22,Congenital Anomalies,1.20
23,Liver Cancer,0.98
24,Pancreas Cancer,0.96
25,Oesophagus Cancer,0.95
26,Lymphomas,0.90
27,Oral Cancer,0.87
28,Cervical Cancer,0.85
29,Alcohol,0.84
30,Leukemia,0.78
31,Malnutrition,0.73
32,Low Birth Weight,0.69
33,Tuberculosis,0.53
34,Drownings,0.53
35,Diarrhoeal diseases,0.51
36,Chagas disease,0.49
37,Skin Disease,0.49
38,Bladder Cancer,0.44
39,Other Neoplasms,0.41
40,Skin Cancers,0.41
41,Parkinson's Disease,0.36
42,Ovary Cancer,0.36
43,Birth Trauma,0.36
44,Encephalitis,0.35
45,Peptic Ulcer Disease,0.33
46,Epilepsy,0.26
47,Asthma,0.26
48,Anemia,0.22
49,Rheumatic Heart Disease,0.20
