,DeathCause,Percentage
0,HIV/AIDS,13.62
1,Influenza and Pneumonia,11.47
2,Diarrhoeal diseases,7.17
3,Coronary Heart Disease,5.54
4,Stroke,4.98
5,Malaria,3.81
6,Low Birth Weight,3.53
7,Birth Trauma,3.42
8,Road Traffic Accidents,3.26
9,Tuberculosis,3.14
10,Liver Disease,3.02
11,Congenital Anomalies,2.84
12,Meningitis,2.51
13,Maternal Conditions,2.25
14,Diabetes Mellitus,2.17
15,Other Injuries,2.10
16,Malnutrition,1.88
17,Endocrine Disorders,1.88
18,Lung Disease,1.63
19,Kidney Disease,1.59
20,Syphilis,1.36
21,Suicide,1.36
22,Violence,1.29
23,Drownings,1.19
24,Falls,1.14
25,Alzheimers & Dementia,0.96
26,Lymphomas,0.70
27,Breast Cancer,0.67
28,Hypertension,0.66
29,Fires,0.62
30,Asthma,0.60
31,Cervical Cancer,0.57
32,Peptic Ulcer Disease,0.49
33,Prostate Cancer,0.49
34,Epilepsy,0.48
35,Inflammatory/Heart,0.47
36,Oral Cancer,0.39
37,Liver Cancer,0.38
38,Schistosomiasis,0.36
39,Poisonings,0.35
40,Hepatitis B,0.34
41,Drug Use,0.32
42,Rheumatic Heart Disease,0.31
43,Skin Disease,0.26
44,Other Neoplasms,0.21
45,Alcohol,0.21
46,Appendicitis,0.20
47,Colon-Rectum Cancers,0.17
48,Leukemia,0.16
49,Encephalitis,0.16
