,DeathCause,Percentage
0,Coronary Heart Disease,17.59
1,Alzheimers & Dementia,11.64
2,Lung Cancers,9.49
3,Lung Disease,6.51
4,Stroke,5.89
5,Colon-Rectum Cancers,4.43
6,Influenza and Pneumonia,3.24
7,Diabetes Mellitus,3.19
8,Breast Cancer,2.66
9,Falls,2.39
10,Lymphomas,2.26
11,Pancreas Cancer,2.09
12,Suicide,2.08
13,Prostate Cancer,2.06
14,Kidney Disease,1.65
15,Liver Disease,1.60
16,Endocrine Disorders,1.48
17,Leukemia,1.41
18,Liver Cancer,1.21
19,Parkinson's Disease,1.19
20,Other Injuries,1.11
21,Bladder Cancer,1.09
22,Stomach Cancer,1.01
23,Road Traffic Accidents,0.97
24,Oesophagus Cancer,0.96
25,Ovary Cancer,0.81
26,Diarrhoeal diseases,0.80
27,Skin Cancers,0.76
28,Hypertension,0.75
29,Other Neoplasms,0.74
30,Inflammatory/Heart,0.72
31,Drug Use,0.70
32,Oral Cancer,0.64
33,Congenital Anomalies,0.50
34,Uterin Cancer,0.46
35,Alcohol,0.43
36,Cervical Cancer,0.27
37,Multiple Sclerosis,0.26
38,Violence,0.25
39,Low Birth Weight,0.25
40,Skin Disease,0.22
41,Encephalitis,0.22
42,Rheumatic Heart Disease,0.22
43,Peptic Ulcer Disease,0.20
44,Anemia,0.17
45,Epilepsy,0.15
46,Drownings,0.14
47,Rheumatoid Arthritis,0.14
48,HIV/AIDS,0.13
49,Asthma,0.13
