,DeathCause,Percentage
0,Stroke,20.60
1,Coronary Heart Disease,19.68
2,Lung Disease,9.14
3,Lung Cancers,6.51
4,Alzheimers & Dementia,5.75
5,Liver Cancer,4.32
6,Stomach Cancer,3.35
7,Road Traffic Accidents,2.91
8,Hypertension,2.82
9,Oesophagus Cancer,2.09
10,Kidney Disease,2.00
11,Influenza and Pneumonia,1.81
12,Diabetes Mellitus,1.71
13,Colon-Rectum Cancers,1.57
14,Liver Disease,1.55
15,Suicide,1.39
16,Falls,1.19
17,Rheumatic Heart Disease,0.87
18,Pancreas Cancer,0.74
19,Leukemia,0.57
20,Drownings,0.57
21,Tuberculosis,0.51
22,Breast Cancer,0.51
23,Other Injuries,0.49
24,Parkinson's Disease,0.48
25,Congenital Anomalies,0.44
26,Peptic Ulcer Disease,0.41
27,Other Neoplasms,0.41
28,Lymphomas,0.41
29,Oral Cancer,0.40
30,Inflammatory/Heart,0.39
31,Drug Use,0.32
32,Bladder Cancer,0.31
33,Cervical Cancer,0.31
34,Low Birth Weight,0.29
35,Prostate Cancer,0.27
36,Asthma,0.25
37,Endocrine Disorders,0.25
38,Birth Trauma,0.25
39,Skin Cancers,0.20
40,Poisonings,0.20
41,HIV/AIDS,0.19
42,Ovary Cancer,0.17
43,Uterin Cancer,0.16
44,Alcohol,0.15
45,Violence,0.13
46,Malnutrition,0.13
47,Epilepsy,0.13
48,Rheumatoid Arthritis,0.11
49,Fires,0.11
