,DeathCause,Percentage
0,Influenza and Pneumonia,13.30
1,Diarrhoeal diseases,12.21
2,Coronary Heart Disease,8.62
3,Low Birth Weight,7.12
4,Stroke,5.57
5,Road Traffic Accidents,4.64
6,Birth Trauma,4.39
7,Malnutrition,3.54
8,Meningitis,2.81
9,Diabetes Mellitus,2.66
10,Congenital Anomalies,2.52
11,Liver Disease,2.08
12,Other Injuries,1.89
13,Cervical Cancer,1.87
14,Lung Disease,1.61
15,Syphilis,1.53
16,Maternal Conditions,1.48
17,Hypertension,1.46
18,Alzheimers & Dementia,1.42
19,Violence,1.24
20,Falls,1.22
21,Suicide,1.06
22,Tuberculosis,1.00
23,Kidney Disease,0.90
24,Drownings,0.90
25,Endocrine Disorders,0.87
26,Fires,0.79
27,Asthma,0.77
28,Lymphomas,0.73
29,Oesophagus Cancer,0.73
30,Oral Cancer,0.67
31,Prostate Cancer,0.65
32,Skin Disease,0.65
33,Inflammatory/Heart,0.63
34,Epilepsy,0.51
35,Breast Cancer,0.51
36,Peptic Ulcer Disease,0.49
37,Liver Cancer,0.45
38,Other Neoplasms,0.37
39,Poisonings,0.37
40,Hepatitis B,0.33
41,Colon-Rectum Cancers,0.31
42,Tetanus,0.30
43,Leukemia,0.24
44,Bladder Cancer,0.24
45,Rheumatic Heart Disease,0.24
46,Appendicitis,0.18
47,Lung Cancers,0.18
48,Alcohol,0.18
49,Encephalitis,0.18
