,DeathCause,Percentage
0,HIV/AIDS,10.81
1,Tuberculosis,8.75
2,Influenza and Pneumonia,8.03
3,Diarrhoeal diseases,7.80
4,Coronary Heart Disease,6.85
5,Malaria,5.81
6,Stroke,5.18
7,Low Birth Weight,4.09
8,Road Traffic Accidents,3.96
9,Birth Trauma,2.99
10,Malnutrition,2.97
11,Liver Disease,2.56
12,Congenital Anomalies,2.45
13,Maternal Conditions,2.13
14,Diabetes Mellitus,1.88
15,Lung Disease,1.63
16,Alzheimers & Dementia,1.61
17,Violence,1.49
18,Hypertension,1.36
19,Meningitis,1.34
20,Other Injuries,1.20
21,Drownings,1.15
22,Measles,1.13
23,Prostate Cancer,0.96
24,Suicide,0.86
25,Falls,0.81
26,Kidney Disease,0.78
27,Liver Cancer,0.72
28,Endocrine Disorders,0.61
29,Breast Cancer,0.60
30,Asthma,0.58
31,Peptic Ulcer Disease,0.58
32,Inflammatory/Heart,0.52
33,Fires,0.49
34,Cervical Cancer,0.48
35,Skin Disease,0.44
36,Epilepsy,0.35
37,Colon-Rectum Cancers,0.34
38,Rheumatic Heart Disease,0.28
39,War,0.28
40,Lymphomas,0.23
41,Hepatitis B,0.22
42,Stomach Cancer,0.20
43,Schistosomiasis,0.19
44,Appendicitis,0.19
45,Leukemia,0.19
46,Poisonings,0.18
47,Syphilis,0.17
48,Other Neoplasms,0.16
49,Alcohol,0.14
