,DeathCause,Percentage
0,Coronary Heart Disease,19.47
1,Stroke,8.03
2,Lung Disease,5.90
3,Diabetes Mellitus,4.39
4,Stomach Cancer,4.34
5,Road Traffic Accidents,3.60
6,Influenza and Pneumonia,3.58
7,Kidney Disease,3.24
8,Colon-Rectum Cancers,3.13
9,Other Injuries,2.84
10,Alzheimers & Dementia,2.76
11,Prostate Cancer,2.72
12,Hypertension,2.56
13,Violence,2.38
14,Breast Cancer,2.18
15,Lymphomas,1.91
16,Suicide,1.85
17,Liver Disease,1.83
18,Lung Cancers,1.80
19,Liver Cancer,1.65
20,Other Neoplasms,1.63
21,Pancreas Cancer,1.38
22,Leukemia,1.37
23,Congenital Anomalies,1.32
24,Inflammatory/Heart,1.28
25,Endocrine Disorders,1.00
26,HIV/AIDS,0.93
27,Cervical Cancer,0.93
28,Low Birth Weight,0.84
29,Drownings,0.66
30,Skin Cancers,0.62
31,Diarrhoeal diseases,0.61
32,Oral Cancer,0.57
33,Falls,0.53
34,Skin Disease,0.52
35,Bladder Cancer,0.51
36,Ovary Cancer,0.46
37,Peptic Ulcer Disease,0.44
38,Oesophagus Cancer,0.40
39,Parkinson's Disease,0.39
40,Uterin Cancer,0.36
41,Epilepsy,0.31
42,Alcohol,0.29
43,Tuberculosis,0.28
44,Rheumatic Heart Disease,0.27
45,Asthma,0.24
46,Rheumatoid Arthritis,0.22
47,Birth Trauma,0.21
48,Drug Use,0.19
49,Encephalitis,0.19
