,DeathCause,Percentage
0,Coronary Heart Disease,28.34
1,Stroke,14.63
2,Lung Cancers,6.34
3,Colon-Rectum Cancers,5.04
4,Diabetes Mellitus,4.19
5,Lung Disease,4.10
6,Alzheimers & Dementia,2.43
7,Falls,2.41
8,Breast Cancer,2.35
9,Kidney Disease,2.21
10,Liver Disease,2.16
11,Hypertension,1.89
12,Prostate Cancer,1.77
13,Stomach Cancer,1.76
14,Pancreas Cancer,1.68
15,Suicide,1.52
16,Influenza and Pneumonia,1.38
17,Lymphomas,1.19
18,Inflammatory/Heart,1.19
19,Liver Cancer,1.18
20,Bladder Cancer,1.05
21,Leukemia,0.97
22,Other Injuries,0.89
23,Parkinson's Disease,0.82
24,Oral Cancer,0.78
25,Skin Cancers,0.77
26,Road Traffic Accidents,0.76
27,Ovary Cancer,0.66
28,Other Neoplasms,0.65
29,Uterin Cancer,0.49
30,Alcohol,0.49
31,Oesophagus Cancer,0.46
32,Peptic Ulcer Disease,0.40
33,Cervical Cancer,0.35
34,Rheumatic Heart Disease,0.31
35,Epilepsy,0.22
36,Encephalitis,0.21
37,Congenital Anomalies,0.21
38,Drownings,0.20
39,Endocrine Disorders,0.19
40,Drug Use,0.19
41,Schizophrenia,0.14
42,Diarrhoeal diseases,0.14
43,Tuberculosis,0.13
44,Asthma,0.11
45,Rheumatoid Arthritis,0.10
46,Multiple Sclerosis,0.09
47,Prostatic Hypertrophy,0.09
48,Violence,0.09
49,Fires,0.05
