,DeathCause,Percentage
0,Coronary Heart Disease,22.72
1,Stroke,10.43
2,Influenza and Pneumonia,7.52
3,Lung Cancers,6.31
4,Alzheimers & Dementia,5.85
5,Lung Disease,5.48
6,Prostate Cancer,3.45
7,Colon-Rectum Cancers,2.95
8,Falls,2.80
9,Diabetes Mellitus,2.68
10,Hypertension,2.18
11,Other Injuries,2.01
12,Liver Disease,1.79
13,Suicide,1.79
14,Breast Cancer,1.79
15,Kidney Disease,1.24
16,Lymphomas,1.17
17,Stomach Cancer,1.06
18,Inflammatory/Heart,1.02
19,Pancreas Cancer,0.99
20,Road Traffic Accidents,0.98
21,Oesophagus Cancer,0.97
22,Oral Cancer,0.94
23,Liver Cancer,0.89
24,Bladder Cancer,0.76
25,Violence,0.71
26,Leukemia,0.68
27,Other Neoplasms,0.67
28,Uterin Cancer,0.67
29,Cervical Cancer,0.65
30,Parkinson's Disease,0.61
31,Alcohol,0.60
32,Skin Cancers,0.51
33,Congenital Anomalies,0.49
34,HIV/AIDS,0.43
35,Peptic Ulcer Disease,0.41
36,Endocrine Disorders,0.40
37,Osteoarthritis,0.38
38,Diarrhoeal diseases,0.34
39,Ovary Cancer,0.33
40,Asthma,0.31
41,Drownings,0.27
42,Skin Disease,0.24
43,Rheumatic Heart Disease,0.15
44,Low Birth Weight,0.12
45,Epilepsy,0.12
46,Appendicitis,0.10
47,Meningitis,0.09
48,Rheumatoid Arthritis,0.08
49,Birth Trauma,0.08
