,DeathCause,Percentage
0,Coronary Heart Disease,22.69
1,Diabetes Mellitus,8.75
2,Stroke,8.46
3,Lung Disease,6.41
4,Lung Cancers,5.35
5,Alzheimers & Dementia,4.90
6,Kidney Disease,2.78
7,Colon-Rectum Cancers,2.68
8,Hypertension,2.64
9,Breast Cancer,2.46
10,Other Injuries,2.36
11,Prostate Cancer,2.31
12,Endocrine Disorders,2.13
13,Lymphomas,1.93
14,Influenza and Pneumonia,1.87
15,Pancreas Cancer,1.69
16,Leukemia,1.66
17,Stomach Cancer,1.45
18,Bladder Cancer,1.27
19,Liver Cancer,1.16
20,Liver Disease,1.10
21,Road Traffic Accidents,1.05
22,Other Neoplasms,1.05
23,Inflammatory/Heart,1.02
24,Suicide,0.92
25,Ovary Cancer,0.80
26,Parkinson's Disease,0.70
27,Skin Cancers,0.67
28,Diarrhoeal diseases,0.64
29,Falls,0.64
30,Asthma,0.56
31,Skin Disease,0.56
32,Encephalitis,0.53
33,Rheumatic Heart Disease,0.50
34,Uterin Cancer,0.46
35,Drownings,0.39
36,Cervical Cancer,0.37
37,Congenital Anomalies,0.34
38,Anemia,0.33
39,Oral Cancer,0.30
40,Drug Use,0.24
41,Violence,0.24
42,Rheumatoid Arthritis,0.21
43,Peptic Ulcer Disease,0.19
44,Oesophagus Cancer,0.18
45,Epilepsy,0.12
46,Multiple Sclerosis,0.12
47,Prostatic Hypertrophy,0.10
48,Alcohol,0.10
49,Low Birth Weight,0.09
