,DeathCause,Percentage
0,Coronary Heart Disease,12.57
1,Alzheimers & Dementia,9.48
2,Lung Disease,9.44
3,Lung Cancers,9.13
4,Stroke,7.97
5,Colon-Rectum Cancers,4.98
6,Influenza and Pneumonia,4.90
7,Diabetes Mellitus,3.43
8,Prostate Cancer,3.24
9,Breast Cancer,3.04
10,Pancreas Cancer,2.37
11,Liver Disease,1.69
12,Suicide,1.69
13,Lymphomas,1.63
14,Alcohol,1.47
15,Kidney Disease,1.37
16,Bladder Cancer,1.33
17,Leukemia,1.32
18,Endocrine Disorders,1.32
19,Hypertension,1.29
20,Falls,1.20
21,Parkinson's Disease,1.14
22,Liver Cancer,1.08
23,Oesophagus Cancer,1.04
24,Stomach Cancer,1.04
25,Skin Cancers,0.95
26,Oral Cancer,0.91
27,Ovary Cancer,0.86
28,Other Injuries,0.82
29,Other Neoplasms,0.77
30,Inflammatory/Heart,0.61
31,Peptic Ulcer Disease,0.59
32,Diarrhoeal diseases,0.52
33,Drug Use,0.47
34,Uterin Cancer,0.47
35,Congenital Anomalies,0.43
36,Road Traffic Accidents,0.42
37,Multiple Sclerosis,0.30
38,Cervical Cancer,0.27
39,Low Birth Weight,0.26
40,Epilepsy,0.24
41,Rheumatoid Arthritis,0.20
42,Rheumatic Heart Disease,0.19
43,Anemia,0.19
44,Encephalitis,0.18
45,Asthma,0.15
46,Schizophrenia,0.14
47,Skin Disease,0.14
48,Fires,0.14
49,Violence,0.10
