,DeathCause,Percentage
0,Influenza and Pneumonia,10.10
1,Coronary Heart Disease,9.52
2,HIV/AIDS,8.31
3,Diarrhoeal diseases,7.32
4,Stroke,6.13
5,Tuberculosis,5.00
6,Low Birth Weight,4.36
7,Road Traffic Accidents,3.74
8,Malnutrition,3.73
9,Birth Trauma,2.86
10,Diabetes Mellitus,2.83
11,Meningitis,2.75
12,Liver Disease,2.69
13,Other Injuries,1.96
14,Congenital Anomalies,1.80
15,Alzheimers & Dementia,1.74
16,Lung Disease,1.59
17,Hypertension,1.56
18,Falls,1.41
19,Kidney Disease,1.22
20,Breast Cancer,1.12
21,Drownings,1.05
22,Violence,0.98
23,Suicide,0.96
24,Maternal Conditions,0.87
25,Endocrine Disorders,0.86
26,Fires,0.83
27,Syphilis,0.76
28,Asthma,0.76
29,Lymphomas,0.70
30,Inflammatory/Heart,0.67
31,Epilepsy,0.66
32,Other Neoplasms,0.64
33,Skin Disease,0.63
34,Peptic Ulcer Disease,0.60
35,Cervical Cancer,0.57
36,Leukemia,0.53
37,Oral Cancer,0.50
38,Colon-Rectum Cancers,0.50
39,Hepatitis B,0.38
40,Oesophagus Cancer,0.38
41,Liver Cancer,0.35
42,Poisonings,0.34
43,Tetanus,0.34
44,Schistosomiasis,0.34
45,Ovary Cancer,0.31
46,Prostate Cancer,0.31
47,Lung Cancers,0.28
48,Rheumatic Heart Disease,0.26
49,Stomach Cancer,0.26
