,DeathCause,Percentage
0,Coronary Heart Disease,29.38
1,Liver Disease,12.40
2,Stroke,10.70
3,Influenza and Pneumonia,3.98
4,Kidney Disease,3.29
5,Liver Cancer,3.24
6,Alzheimers & Dementia,3.23
7,Diabetes Mellitus,3.21
8,Lung Disease,3.11
9,Congenital Anomalies,2.60
10,Low Birth Weight,2.46
11,Road Traffic Accidents,2.43
12,Breast Cancer,1.33
13,Hypertension,1.22
14,Birth Trauma,1.12
15,Asthma,1.05
16,Lymphomas,0.93
17,Lung Cancers,0.91
18,Endocrine Disorders,0.89
19,Bladder Cancer,0.85
20,Violence,0.83
21,Diarrhoeal diseases,0.81
22,Falls,0.76
23,Leukemia,0.73
24,Suicide,0.68
25,Inflammatory/Heart,0.66
26,Other Injuries,0.66
27,Other Neoplasms,0.65
28,Colon-Rectum Cancers,0.51
29,Pancreas Cancer,0.45
30,Fires,0.35
31,Ovary Cancer,0.33
32,Drownings,0.33
33,Peptic Ulcer Disease,0.31
34,Parkinson's Disease,0.31
35,Stomach Cancer,0.30
36,Prostate Cancer,0.30
37,Rheumatic Heart Disease,0.26
38,Oesophagus Cancer,0.25
39,Oral Cancer,0.23
40,Meningitis,0.22
41,Malnutrition,0.20
42,Encephalitis,0.18
43,Maternal Conditions,0.16
44,Hepatitis B,0.12
45,Tetanus,0.12
46,Epilepsy,0.12
47,Schistosomiasis,0.10
48,Uterin Cancer,0.07
49,Appendicitis,0.07
