,DeathCause,Percentage
0,Coronary Heart Disease,18.26
1,Kidney Disease,10.75
2,Violence,7.68
3,Diabetes Mellitus,5.97
4,Influenza and Pneumonia,5.66
5,Alzheimers & Dementia,5.43
6,Liver Disease,4.26
7,Stroke,3.77
8,Road Traffic Accidents,2.96
9,Alcohol,2.77
10,Lung Disease,2.48
11,Stomach Cancer,2.42
12,Suicide,2.29
13,HIV/AIDS,1.81
14,Hypertension,1.44
15,Falls,1.41
16,Congenital Anomalies,1.39
17,Other Injuries,1.34
18,Liver Cancer,1.26
19,Prostate Cancer,1.24
20,Drownings,1.05
21,Cervical Cancer,1.05
22,Colon-Rectum Cancers,0.97
23,Lung Cancers,0.95
24,Low Birth Weight,0.94
25,Malnutrition,0.90
26,Diarrhoeal diseases,0.85
27,Breast Cancer,0.80
28,Leukemia,0.78
29,Peptic Ulcer Disease,0.71
30,Pancreas Cancer,0.68
31,Uterin Cancer,0.52
32,Asthma,0.43
33,Inflammatory/Heart,0.38
34,Birth Trauma,0.36
35,Parkinson's Disease,0.35
36,Meningitis,0.32
37,Lymphomas,0.32
38,Endocrine Disorders,0.30
39,Skin Disease,0.27
40,Oral Cancer,0.26
41,Ovary Cancer,0.26
42,Oesophagus Cancer,0.24
43,Epilepsy,0.22
44,Tuberculosis,0.20
45,Appendicitis,0.20
46,Fires,0.17
47,Skin Cancers,0.16
48,Rheumatic Heart Disease,0.13
49,Bladder Cancer,0.13
