,DeathCause,Percentage
0,Influenza and Pneumonia,12.05
1,Diarrhoeal diseases,10.25
2,Coronary Heart Disease,8.13
3,Stroke,8.00
4,Road Traffic Accidents,4.38
5,Malnutrition,3.66
6,Birth Trauma,3.04
7,Meningitis,2.98
8,Diabetes Mellitus,2.91
9,Liver Disease,2.80
10,Low Birth Weight,2.63
11,Lung Disease,2.36
12,Other Injuries,2.18
13,Tuberculosis,2.15
14,Maternal Conditions,2.11
15,Congenital Anomalies,1.95
16,HIV/AIDS,1.80
17,Hypertension,1.79
18,Alzheimers & Dementia,1.47
19,Falls,1.43
20,Measles,1.41
21,Breast Cancer,1.39
22,Suicide,1.32
23,Violence,1.31
24,Kidney Disease,0.95
25,Asthma,0.94
26,Drownings,0.93
27,Fires,0.90
28,Peptic Ulcer Disease,0.86
29,Endocrine Disorders,0.71
30,Lymphomas,0.71
31,Poisonings,0.70
32,Cervical Cancer,0.68
33,Inflammatory/Heart,0.61
34,Leukemia,0.59
35,Malaria,0.56
36,Colon-Rectum Cancers,0.55
37,Skin Disease,0.49
38,Syphilis,0.48
39,Epilepsy,0.43
40,Oral Cancer,0.42
41,Hepatitis B,0.41
42,Ovary Cancer,0.40
43,Schistosomiasis,0.38
44,Oesophagus Cancer,0.37
45,Rheumatic Heart Disease,0.36
46,Tetanus,0.32
47,Liver Cancer,0.31
48,Other Neoplasms,0.30
49,Prostate Cancer,0.26
