,DeathCause,Percentage
0,Coronary Heart Disease,41.77
1,Stroke,7.20
2,Lung Cancers,5.15
3,Colon-Rectum Cancers,3.73
4,Hypertension,2.90
5,Kidney Disease,2.48
6,Stomach Cancer,2.34
7,Prostate Cancer,2.21
8,Liver Disease,2.04
9,Influenza and Pneumonia,2.03
10,Lung Disease,1.97
11,Pancreas Cancer,1.91
12,Breast Cancer,1.87
13,Suicide,1.70
14,Inflammatory/Heart,1.53
15,Alcohol,1.42
16,Lymphomas,1.41
17,Diabetes Mellitus,1.10
18,Leukemia,1.08
19,Alzheimers & Dementia,1.06
20,Falls,0.86
21,Bladder Cancer,0.85
22,Ovary Cancer,0.75
23,Oral Cancer,0.74
24,Liver Cancer,0.70
25,Skin Cancers,0.70
26,Drug Use,0.68
27,Other Neoplasms,0.59
28,Cervical Cancer,0.56
29,Road Traffic Accidents,0.55
30,Other Injuries,0.54
31,Oesophagus Cancer,0.51
32,Parkinson's Disease,0.51
33,Peptic Ulcer Disease,0.47
34,Fires,0.38
35,Uterin Cancer,0.37
36,Drownings,0.37
37,HIV/AIDS,0.36
38,Violence,0.36
39,Epilepsy,0.31
40,Endocrine Disorders,0.27
41,Asthma,0.26
42,Congenital Anomalies,0.20
43,Tuberculosis,0.19
44,Rheumatic Heart Disease,0.15
45,Encephalitis,0.15
46,Skin Disease,0.12
47,Rheumatoid Arthritis,0.09
48,Prostatic Hypertrophy,0.08
49,Multiple Sclerosis,0.08
