,DeathCause,Percentage
0,Influenza and Pneumonia,10.89
1,Diarrhoeal diseases,9.74
2,Coronary Heart Disease,7.81
3,Stroke,5.38
4,Road Traffic Accidents,4.81
5,Birth Trauma,4.57
6,Low Birth Weight,4.51
7,Tuberculosis,4.17
8,HIV/AIDS,3.32
9,Meningitis,3.01
10,Malnutrition,2.79
11,Liver Disease,2.71
12,Congenital Anomalies,2.36
13,Maternal Conditions,2.14
14,Diabetes Mellitus,2.13
15,Measles,1.89
16,Other Injuries,1.86
17,Lung Disease,1.69
18,Falls,1.39
19,Alzheimers & Dementia,1.36
20,Violence,1.31
21,Hypertension,1.27
22,Breast Cancer,1.25
23,Suicide,1.20
24,Drownings,1.07
25,Kidney Disease,1.05
26,Syphilis,1.03
27,Cervical Cancer,0.82
28,Malaria,0.78
29,Asthma,0.73
30,Fires,0.72
31,Peptic Ulcer Disease,0.69
32,Endocrine Disorders,0.68
33,Colon-Rectum Cancers,0.57
34,Leukemia,0.57
35,Epilepsy,0.55
36,Lymphomas,0.51
37,Inflammatory/Heart,0.48
38,Poisonings,0.48
39,Tetanus,0.46
40,Other Neoplasms,0.42
41,Ovary Cancer,0.41
42,Skin Disease,0.40
43,Hepatitis B,0.38
44,Pertussis,0.28
45,Lung Cancers,0.28
46,Schistosomiasis,0.27
47,Oesophagus Cancer,0.27
48,Stomach Cancer,0.25
49,Rheumatic Heart Disease,0.24
