,DeathCause,Percentage
0,Coronary Heart Disease,23.28
1,Alzheimers & Dementia,20.64
2,Stroke,9.23
3,Lung Cancers,4.88
4,Lung Disease,2.83
5,Colon-Rectum Cancers,2.83
6,Falls,2.56
7,Liver Disease,2.53
8,Pancreas Cancer,2.38
9,Prostate Cancer,2.06
10,Breast Cancer,1.93
11,Lymphomas,1.91
12,Hypertension,1.90
13,Suicide,1.87
14,Parkinson's Disease,1.60
15,Alcohol,1.24
16,Inflammatory/Heart,1.16
17,Diabetes Mellitus,1.09
18,Liver Cancer,1.07
19,Stomach Cancer,1.03
20,Kidney Disease,0.91
21,Leukemia,0.82
22,Other Neoplasms,0.75
23,Ovary Cancer,0.72
24,Other Injuries,0.70
25,Drug Use,0.69
26,Influenza and Pneumonia,0.65
27,Skin Cancers,0.64
28,Bladder Cancer,0.60
29,Oesophagus Cancer,0.58
30,Road Traffic Accidents,0.51
31,Oral Cancer,0.50
32,Endocrine Disorders,0.46
33,Uterin Cancer,0.45
34,Congenital Anomalies,0.42
35,Peptic Ulcer Disease,0.32
36,Drownings,0.27
37,Epilepsy,0.21
38,Asthma,0.19
39,Schizophrenia,0.18
40,Multiple Sclerosis,0.17
41,Rheumatoid Arthritis,0.17
42,Violence,0.15
43,Fires,0.13
44,Cervical Cancer,0.13
45,Encephalitis,0.11
46,Tuberculosis,0.08
47,Rheumatic Heart Disease,0.07
48,Skin Disease,0.06
49,Diarrhoeal diseases,0.06
