,DeathCause,Percentage
0,Coronary Heart Disease,13.64
1,Alzheimers & Dementia,10.93
2,Lung Cancers,7.50
3,Stroke,7.46
4,Colon-Rectum Cancers,4.57
5,Lung Disease,4.49
6,Influenza and Pneumonia,3.94
7,Breast Cancer,3.18
8,Diabetes Mellitus,2.73
9,Other Injuries,2.70
10,Suicide,2.53
11,Pancreas Cancer,2.49
12,Prostate Cancer,2.29
13,Lymphomas,2.07
14,Liver Cancer,2.00
15,Kidney Disease,1.82
16,Liver Disease,1.71
17,Other Neoplasms,1.68
18,Leukemia,1.58
19,Endocrine Disorders,1.54
20,Parkinson's Disease,1.43
21,Falls,1.43
22,Bladder Cancer,1.36
23,Inflammatory/Heart,1.25
24,Stomach Cancer,1.23
25,Hypertension,1.16
26,Oral Cancer,1.00
27,Oesophagus Cancer,0.98
28,Ovary Cancer,0.85
29,Alcohol,0.73
30,Malnutrition,0.73
31,Skin Cancers,0.67
32,Road Traffic Accidents,0.63
33,Uterin Cancer,0.59
34,Diarrhoeal diseases,0.50
35,Congenital Anomalies,0.42
36,Epilepsy,0.40
37,Rheumatic Heart Disease,0.37
38,Drug Use,0.37
39,Encephalitis,0.32
40,Cervical Cancer,0.31
41,Skin Disease,0.29
42,Asthma,0.29
43,Peptic Ulcer Disease,0.20
44,Drownings,0.19
45,Anemia,0.18
46,Multiple Sclerosis,0.15
47,Low Birth Weight,0.14
48,Schizophrenia,0.13
49,Violence,0.13
