,DeathCause,Percentage
0,Coronary Heart Disease,24.95
1,Stroke,7.58
2,Alzheimers & Dementia,6.34
3,Lung Disease,6.27
4,Lung Cancers,6.13
5,Colon-Rectum Cancers,3.75
6,Diabetes Mellitus,3.22
7,Kidney Disease,3.03
8,Influenza and Pneumonia,3.01
9,Hypertension,2.83
10,Breast Cancer,2.61
11,Pancreas Cancer,2.28
12,Prostate Cancer,2.03
13,Liver Disease,1.94
14,Falls,1.75
15,Lymphomas,1.60
16,Parkinson's Disease,1.49
17,Suicide,1.45
18,Stomach Cancer,1.39
19,Endocrine Disorders,1.30
20,Inflammatory/Heart,1.21
21,Leukemia,1.15
22,Other Neoplasms,1.04
23,Liver Cancer,1.04
24,Other Injuries,0.90
25,Bladder Cancer,0.85
26,Diarrhoeal diseases,0.82
27,Oral Cancer,0.80
28,Oesophagus Cancer,0.79
29,Alcohol,0.78
30,Ovary Cancer,0.73
31,Skin Cancers,0.56
32,Road Traffic Accidents,0.43
33,Rheumatic Heart Disease,0.42
34,Epilepsy,0.40
35,Uterin Cancer,0.34
36,Peptic Ulcer Disease,0.31
37,Encephalitis,0.31
38,Congenital Anomalies,0.27
39,Cervical Cancer,0.25
40,Drug Use,0.24
41,Skin Disease,0.21
42,Multiple Sclerosis,0.19
43,Asthma,0.16
44,Anemia,0.11
45,Low Birth Weight,0.10
46,Violence,0.08
47,Rheumatoid Arthritis,0.07
48,Drownings,0.06
49,HIV/AIDS,0.05
