,DeathCause,Percentage
0,Coronary Heart Disease,23.11
1,Stroke,15.55
2,Lung Cancers,7.54
3,Lung Disease,6.65
4,Influenza and Pneumonia,6.49
5,Kidney Disease,3.34
6,Colon-Rectum Cancers,3.25
7,Breast Cancer,2.47
8,Alzheimers & Dementia,2.09
9,Prostate Cancer,2.05
10,Hypertension,1.94
11,Pancreas Cancer,1.90
12,Upper Respiratory,1.83
13,Diabetes Mellitus,1.77
14,Liver Cancer,1.61
15,Stomach Cancer,1.60
16,Bladder Cancer,1.51
17,Parkinson's Disease,1.47
18,Leukemia,1.40
19,Lymphomas,1.31
20,Encephalitis,1.00
21,Road Traffic Accidents,0.94
22,Liver Disease,0.88
23,Other Injuries,0.75
24,Endocrine Disorders,0.62
25,Peptic Ulcer Disease,0.58
26,Ovary Cancer,0.57
27,Suicide,0.56
28,Inflammatory/Heart,0.52
29,Falls,0.52
30,Skin Cancers,0.48
31,Oral Cancer,0.43
32,Drownings,0.38
33,Other Neoplasms,0.36
34,Uterin Cancer,0.35
35,Oesophagus Cancer,0.25
36,Drug Use,0.24
37,Cervical Cancer,0.24
38,Congenital Anomalies,0.19
39,Epilepsy,0.15
40,Violence,0.13
41,Low Birth Weight,0.12
42,Multiple Sclerosis,0.12
43,Hepatitis B,0.09
44,Tuberculosis,0.09
45,Rheumatic Heart Disease,0.08
46,Fires,0.08
47,Diarrhoeal diseases,0.06
48,Skin Disease,0.05
49,Anemia,0.04
