,DeathCause,Percentage
0,Coronary Heart Disease,18.21
1,Diabetes Mellitus,12.04
2,Stroke,9.99
3,Influenza and Pneumonia,8.22
4,Endocrine Disorders,4.26
5,Prostate Cancer,4.26
6,Hypertension,3.08
7,Breast Cancer,2.94
8,Kidney Disease,2.50
9,Other Injuries,2.35
10,Skin Disease,2.35
11,Colon-Rectum Cancers,2.06
12,Lung Disease,2.06
13,Lung Cancers,1.91
14,Lymphomas,1.47
15,Liver Disease,1.32
16,Cervical Cancer,1.32
17,Road Traffic Accidents,1.17
18,Violence,1.03
19,Stomach Cancer,1.03
20,Leukemia,1.03
21,Oesophagus Cancer,0.88
22,Birth Trauma,0.88
23,Oral Cancer,0.88
24,Alzheimers & Dementia,0.88
25,Malnutrition,0.73
26,Falls,0.73
27,Low Birth Weight,0.73
28,Congenital Anomalies,0.73
29,Pancreas Cancer,0.59
30,Uterin Cancer,0.59
31,Ovary Cancer,0.59
32,Bladder Cancer,0.59
33,HIV/AIDS,0.59
34,Drownings,0.59
35,Peptic Ulcer Disease,0.59
36,Other Neoplasms,0.59
37,Liver Cancer,0.59
38,Inflammatory/Heart,0.44
39,Asthma,0.44
40,Suicide,0.29
41,Anemia,0.29
42,Prostatic Hypertrophy,0.29
43,Alcohol,0.29
44,Rheumatic Heart Disease,0.15
45,Drug Use,0.15
46,Parkinson's Disease,0.15
47,Rheumatoid Arthritis,0.15
48,Skin Cancers,0.15
49,Osteoarthritis,0.15
