,DeathCause,Percentage
0,Coronary Heart Disease,18.97
1,Stroke,11.57
2,Diabetes Mellitus,9.18
3,Influenza and Pneumonia,4.42
4,HIV/AIDS,4.25
5,Hypertension,3.94
6,Suicide,3.80
7,Liver Disease,2.84
8,Kidney Disease,2.47
9,Violence,2.46
10,Tuberculosis,2.40
11,Other Injuries,2.29
12,Lung Disease,2.24
13,Endocrine Disorders,2.15
14,Road Traffic Accidents,2.15
15,Drownings,2.12
16,Low Birth Weight,1.72
17,Prostate Cancer,1.40
18,Anemia,1.33
19,Cervical Cancer,1.31
20,Inflammatory/Heart,1.29
21,Breast Cancer,1.26
22,Birth Trauma,1.24
23,Congenital Anomalies,1.19
24,Diarrhoeal diseases,1.03
25,Encephalitis,0.87
26,Colon-Rectum Cancers,0.76
27,Peptic Ulcer Disease,0.64
28,Malnutrition,0.62
29,Malaria,0.52
30,Other Neoplasms,0.49
31,Alcohol,0.47
32,Lung Cancers,0.47
33,Maternal Conditions,0.44
34,Asthma,0.40
35,Uterin Cancer,0.39
36,Lymphomas,0.39
37,Stomach Cancer,0.39
38,Epilepsy,0.37
39,Liver Cancer,0.37
40,Leukemia,0.34
41,Pancreas Cancer,0.32
42,Fires,0.30
43,Ovary Cancer,0.30
44,Oral Cancer,0.25
45,Alzheimers & Dementia,0.25
46,Falls,0.24
47,Drug Use,0.20
48,Meningitis,0.17
49,Rheumatic Heart Disease,0.15
