,DeathCause,Percentage
0,Coronary Heart Disease,35.60
1,Stroke,9.29
2,Lung Cancers,7.71
3,Lung Disease,5.13
4,Colon-Rectum Cancers,4.53
5,Hypertension,3.47
6,Alzheimers & Dementia,3.13
7,Liver Disease,2.69
8,Diabetes Mellitus,2.42
9,Breast Cancer,2.01
10,Pancreas Cancer,1.89
11,Suicide,1.62
12,Falls,1.51
13,Inflammatory/Heart,1.44
14,Stomach Cancer,1.42
15,Oral Cancer,1.25
16,Prostate Cancer,1.17
17,Kidney Disease,1.13
18,Influenza and Pneumonia,1.08
19,Bladder Cancer,0.87
20,Leukemia,0.80
21,Lymphomas,0.80
22,Liver Cancer,0.74
23,Other Injuries,0.68
24,Road Traffic Accidents,0.63
25,Peptic Ulcer Disease,0.61
26,Ovary Cancer,0.60
27,Other Neoplasms,0.55
28,Skin Cancers,0.51
29,Cervical Cancer,0.51
30,Oesophagus Cancer,0.50
31,Endocrine Disorders,0.41
32,Alcohol,0.37
33,Parkinson's Disease,0.35
34,Congenital Anomalies,0.27
35,Diarrhoeal diseases,0.27
36,Uterin Cancer,0.25
37,Rheumatic Heart Disease,0.23
38,Low Birth Weight,0.15
39,Skin Disease,0.13
40,Drownings,0.12
41,Prostatic Hypertrophy,0.11
42,Violence,0.11
43,Asthma,0.10
44,Epilepsy,0.10
45,Fires,0.09
46,Multiple Sclerosis,0.08
47,Drug Use,0.08
48,Tuberculosis,0.06
49,Schizophrenia,0.06
