,DeathCause,Percentage
0,Coronary Heart Disease,19.60
1,Alzheimers & Dementia,9.69
2,Lung Disease,7.84
3,Lung Cancers,7.46
4,Stroke,7.13
5,Influenza and Pneumonia,4.55
6,Colon-Rectum Cancers,4.30
7,Breast Cancer,3.12
8,Prostate Cancer,2.24
9,Diabetes Mellitus,2.21
10,Suicide,2.10
11,Lymphomas,2.03
12,Pancreas Cancer,2.00
13,Kidney Disease,1.94
14,Parkinson's Disease,1.65
15,Oesophagus Cancer,1.60
16,Stomach Cancer,1.39
17,Liver Disease,1.24
18,Liver Cancer,1.16
19,Leukemia,1.14
20,Ovary Cancer,1.12
21,Endocrine Disorders,1.00
22,Falls,1.00
23,Skin Cancers,0.98
24,Bladder Cancer,0.96
25,Inflammatory/Heart,0.90
26,Other Neoplasms,0.89
27,Other Injuries,0.76
28,Congenital Anomalies,0.74
29,Hypertension,0.70
30,Drug Use,0.70
31,Oral Cancer,0.70
32,Road Traffic Accidents,0.57
33,Uterin Cancer,0.44
34,Cervical Cancer,0.44
35,Alcohol,0.30
36,Peptic Ulcer Disease,0.29
37,Multiple Sclerosis,0.29
38,Epilepsy,0.29
39,Rheumatoid Arthritis,0.25
40,Drownings,0.22
41,Low Birth Weight,0.22
42,Skin Disease,0.21
43,Asthma,0.20
44,Rheumatic Heart Disease,0.19
45,Diarrhoeal diseases,0.18
46,Violence,0.15
47,Fires,0.14
48,Encephalitis,0.11
49,Anemia,0.11
