,DeathCause,Percentage
0,Coronary Heart Disease,20.82
1,Stroke,11.54
2,Alzheimers & Dementia,6.57
3,Lung Cancers,6.34
4,Lung Disease,5.79
5,Diabetes Mellitus,4.10
6,Colon-Rectum Cancers,3.96
7,Hypertension,3.28
8,Kidney Disease,2.77
9,Influenza and Pneumonia,2.62
10,Breast Cancer,2.56
11,Pancreas Cancer,2.14
12,Stomach Cancer,2.00
13,Other Injuries,1.89
14,Liver Cancer,1.85
15,Lymphomas,1.82
16,Other Neoplasms,1.67
17,Liver Disease,1.63
18,Prostate Cancer,1.54
19,Endocrine Disorders,1.46
20,Leukemia,1.27
21,Parkinson's Disease,1.19
22,Bladder Cancer,1.19
23,Inflammatory/Heart,1.04
24,Suicide,0.91
25,Falls,0.72
26,Encephalitis,0.69
27,Ovary Cancer,0.61
28,Oral Cancer,0.60
29,Skin Cancers,0.59
30,Road Traffic Accidents,0.58
31,Rheumatic Heart Disease,0.41
32,Uterin Cancer,0.40
33,Oesophagus Cancer,0.38
34,Congenital Anomalies,0.30
35,Anemia,0.26
36,Skin Disease,0.24
37,Cervical Cancer,0.21
38,Epilepsy,0.21
39,Diarrhoeal diseases,0.20
40,HIV/AIDS,0.15
41,Drug Use,0.13
42,Peptic Ulcer Disease,0.12
43,Malnutrition,0.12
44,Rheumatoid Arthritis,0.11
45,Multiple Sclerosis,0.10
46,Violence,0.09
47,Asthma,0.09
48,Drownings,0.08
49,Osteoarthritis,0.08
