,DeathCause,Percentage
0,Coronary Heart Disease,14.15
1,Influenza and Pneumonia,13.09
2,Stroke,11.70
3,Lung Cancers,7.37
4,Lung Disease,5.95
5,Colon-Rectum Cancers,5.14
6,Stomach Cancer,4.99
7,Kidney Disease,3.29
8,Alzheimers & Dementia,3.19
9,Pancreas Cancer,3.15
10,Liver Cancer,2.96
11,Suicide,2.19
12,Lymphomas,1.65
13,Other Injuries,1.60
14,Liver Disease,1.60
15,Breast Cancer,1.36
16,Diabetes Mellitus,1.34
17,Prostate Cancer,1.21
18,Other Neoplasms,1.17
19,Oesophagus Cancer,1.17
20,Endocrine Disorders,0.97
21,Leukemia,0.85
22,Bladder Cancer,0.85
23,Parkinson's Disease,0.84
24,Oral Cancer,0.75
25,Inflammatory/Heart,0.73
26,Falls,0.73
27,Drownings,0.68
28,Ovary Cancer,0.46
29,Road Traffic Accidents,0.45
30,Hypertension,0.38
31,Cervical Cancer,0.36
32,Tuberculosis,0.31
33,Asthma,0.31
34,Peptic Ulcer Disease,0.29
35,Encephalitis,0.29
36,Uterin Cancer,0.28
37,Congenital Anomalies,0.26
38,Diarrhoeal diseases,0.26
39,Rheumatic Heart Disease,0.24
40,Skin Disease,0.17
41,Malnutrition,0.17
42,Skin Cancers,0.17
43,Rheumatoid Arthritis,0.16
44,Fires,0.10
45,Epilepsy,0.09
46,Anemia,0.08
47,Drug Use,0.07
48,Schizophrenia,0.07
49,Hepatitis B,0.06
