,DeathCause,Percentage
0,Coronary Heart Disease,22.97
1,Stroke,9.55
2,Diabetes Mellitus,7.08
3,Road Traffic Accidents,6.77
4,Kidney Disease,5.85
5,Alzheimers & Dementia,5.17
6,Hypertension,4.98
7,Influenza and Pneumonia,3.78
8,Congenital Anomalies,3.64
9,Low Birth Weight,3.44
10,Colon-Rectum Cancers,2.05
11,Liver Disease,1.99
12,Lung Disease,1.97
13,Lung Cancers,1.80
14,Breast Cancer,1.53
15,Other Injuries,1.44
16,Lymphomas,1.09
17,Birth Trauma,1.00
18,Endocrine Disorders,0.91
19,Leukemia,0.85
20,Suicide,0.82
21,Violence,0.82
22,Stomach Cancer,0.67
23,Falls,0.59
24,Prostate Cancer,0.58
25,Fires,0.58
26,Inflammatory/Heart,0.56
27,Pancreas Cancer,0.54
28,Liver Cancer,0.54
29,Asthma,0.52
30,Other Neoplasms,0.48
31,Diarrhoeal diseases,0.47
32,Bladder Cancer,0.43
33,Parkinson's Disease,0.40
34,Maternal Conditions,0.39
35,Drownings,0.37
36,Drug Use,0.36
37,Skin Disease,0.32
38,Peptic Ulcer Disease,0.28
39,Ovary Cancer,0.27
40,Epilepsy,0.26
41,Meningitis,0.25
42,Oral Cancer,0.21
43,Poisonings,0.18
44,Rheumatic Heart Disease,0.16
45,Oesophagus Cancer,0.11
46,War,0.10
47,Hepatitis B,0.10
48,Uterin Cancer,0.08
49,Skin Cancers,0.08
