,DeathCause,Percentage
0,Coronary Heart Disease,32.63
1,Influenza and Pneumonia,10.54
2,Stroke,8.82
3,Road Traffic Accidents,7.41
4,Diabetes Mellitus,3.27
5,Other Injuries,2.46
6,Congenital Anomalies,2.41
7,Breast Cancer,2.40
8,Lung Cancers,2.36
9,Lung Disease,2.26
10,Kidney Disease,2.05
11,Colon-Rectum Cancers,2.01
12,Low Birth Weight,1.92
13,Hypertension,1.70
14,Lymphomas,1.38
15,Liver Cancer,1.16
16,Falls,1.11
17,Violence,1.10
18,Pancreas Cancer,0.99
19,Encephalitis,0.96
20,Liver Disease,0.95
21,Suicide,0.94
22,Stomach Cancer,0.69
23,Leukemia,0.67
24,Prostate Cancer,0.64
25,Other Neoplasms,0.63
26,Endocrine Disorders,0.63
27,Bladder Cancer,0.58
28,Fires,0.49
29,Drug Use,0.48
30,Inflammatory/Heart,0.45
31,Oesophagus Cancer,0.35
32,Ovary Cancer,0.35
33,Oral Cancer,0.33
34,Uterin Cancer,0.29
35,Asthma,0.28
36,Drownings,0.26
37,Tuberculosis,0.24
38,Hepatitis B,0.22
39,Epilepsy,0.20
40,Meningitis,0.20
41,Cervical Cancer,0.18
42,Alcohol,0.12
43,Birth Trauma,0.11
44,Peptic Ulcer Disease,0.10
45,Syphilis,0.07
46,Poisonings,0.07
47,Diarrhoeal diseases,0.07
48,Maternal Conditions,0.06
49,Parkinson's Disease,0.05
