,DeathCause,Percentage
0,Coronary Heart Disease,14.36
1,Stroke,11.47
2,Influenza and Pneumonia,7.42
3,Tuberculosis,7.07
4,Liver Cancer,5.41
5,Diabetes Mellitus,3.98
6,Low Birth Weight,3.58
7,Diarrhoeal diseases,3.51
8,Birth Trauma,3.40
9,Lung Disease,3.10
10,Asthma,2.54
11,Road Traffic Accidents,2.48
12,Kidney Disease,2.39
13,Alzheimers & Dementia,2.38
14,Liver Disease,2.12
15,Congenital Anomalies,2.02
16,Drownings,1.78
17,Hypertension,1.58
18,Suicide,1.36
19,Other Injuries,1.34
20,Lung Cancers,1.27
21,Violence,1.12
22,Peptic Ulcer Disease,1.10
23,Maternal Conditions,1.03
24,HIV/AIDS,0.84
25,Falls,0.83
26,Malnutrition,0.73
27,Colon-Rectum Cancers,0.70
28,Rheumatic Heart Disease,0.68
29,Inflammatory/Heart,0.68
30,Breast Cancer,0.56
31,Meningitis,0.55
32,Fires,0.54
33,Endocrine Disorders,0.49
34,Lymphomas,0.46
35,Leukemia,0.45
36,Syphilis,0.41
37,Cervical Cancer,0.41
38,Oral Cancer,0.40
39,Epilepsy,0.28
40,Ovary Cancer,0.25
41,Stomach Cancer,0.22
42,Ascariasis,0.22
43,Tetanus,0.20
44,Encephalitis,0.19
45,Alcohol,0.18
46,Appendicitis,0.16
47,Parkinson's Disease,0.16
48,Other Neoplasms,0.15
49,Poisonings,0.14
