,DeathCause,Percentage
0,Coronary Heart Disease,35.30
1,Stroke,19.40
2,Lung Cancers,3.71
3,Inflammatory/Heart,3.21
4,Colon-Rectum Cancers,2.88
5,Hypertension,2.23
6,Stomach Cancer,1.96
7,Diabetes Mellitus,1.94
8,Breast Cancer,1.81
9,Suicide,1.64
10,Prostate Cancer,1.64
11,Liver Disease,1.61
12,Influenza and Pneumonia,1.61
13,Pancreas Cancer,1.44
14,Kidney Disease,1.37
15,Lung Disease,1.26
16,Alzheimers & Dementia,1.10
17,Bladder Cancer,0.94
18,Other Injuries,0.88
19,Alcohol,0.87
20,Lymphomas,0.86
21,Leukemia,0.83
22,Falls,0.82
23,Oral Cancer,0.80
24,Ovary Cancer,0.73
25,Road Traffic Accidents,0.73
26,Drownings,0.63
27,Peptic Ulcer Disease,0.57
28,Liver Cancer,0.56
29,Uterin Cancer,0.54
30,Skin Cancers,0.54
31,Oesophagus Cancer,0.53
32,Cervical Cancer,0.48
33,Fires,0.48
34,Violence,0.46
35,Other Neoplasms,0.42
36,HIV/AIDS,0.39
37,Tuberculosis,0.35
38,Skin Disease,0.24
39,Encephalitis,0.21
40,Endocrine Disorders,0.20
41,Parkinson's Disease,0.20
42,Congenital Anomalies,0.19
43,Drug Use,0.19
44,Prostatic Hypertrophy,0.18
45,Rheumatic Heart Disease,0.17
46,Asthma,0.17
47,Epilepsy,0.15
48,Multiple Sclerosis,0.10
49,Rheumatoid Arthritis,0.07
