,DeathCause,Percentage
0,Coronary Heart Disease,39.51
1,Alzheimers & Dementia,9.78
2,Stroke,5.67
3,Diabetes Mellitus,5.38
4,Road Traffic Accidents,3.20
5,Lung Disease,3.07
6,Lung Cancers,2.88
7,Kidney Disease,2.65
8,Liver Disease,2.43
9,Breast Cancer,2.11
10,Lymphomas,1.76
11,Influenza and Pneumonia,1.74
12,Prostate Cancer,1.56
13,Colon-Rectum Cancers,1.52
14,Hypertension,1.24
15,Bladder Cancer,1.14
16,Inflammatory/Heart,1.00
17,Parkinson's Disease,0.84
18,Other Neoplasms,0.78
19,Violence,0.77
20,Leukemia,0.76
21,Stomach Cancer,0.75
22,Congenital Anomalies,0.74
23,Endocrine Disorders,0.66
24,Asthma,0.61
25,Suicide,0.57
26,Falls,0.57
27,Skin Disease,0.50
28,Other Injuries,0.49
29,Low Birth Weight,0.48
30,Pancreas Cancer,0.46
31,Ovary Cancer,0.41
32,Liver Cancer,0.39
33,Diarrhoeal diseases,0.32
34,Drug Use,0.28
35,Fires,0.25
36,HIV/AIDS,0.23
37,Peptic Ulcer Disease,0.20
38,Oral Cancer,0.20
39,Drownings,0.19
40,Tuberculosis,0.17
41,Epilepsy,0.17
42,Birth Trauma,0.16
43,Rheumatic Heart Disease,0.16
44,Uterin Cancer,0.14
45,Cervical Cancer,0.14
46,Skin Cancers,0.13
47,Meningitis,0.13
48,Oesophagus Cancer,0.13
49,Maternal Conditions,0.08
