,DeathCause,Percentage
0,Coronary Heart Disease,42.12
1,Stroke,15.26
2,Lung Cancers,3.48
3,Colon-Rectum Cancers,2.66
4,Suicide,2.51
5,Liver Disease,2.11
6,Stomach Cancer,1.90
7,Influenza and Pneumonia,1.81
8,Prostate Cancer,1.63
9,Other Injuries,1.56
10,Lung Disease,1.55
11,Breast Cancer,1.47
12,Pancreas Cancer,1.33
13,Inflammatory/Heart,1.31
14,Falls,1.17
15,Hypertension,1.01
16,Alzheimers & Dementia,0.99
17,Kidney Disease,0.96
18,Lymphomas,0.90
19,Alcohol,0.87
20,Peptic Ulcer Disease,0.86
21,Diabetes Mellitus,0.83
22,Oral Cancer,0.81
23,Leukemia,0.81
24,Bladder Cancer,0.77
25,Encephalitis,0.77
26,Ovary Cancer,0.74
27,Road Traffic Accidents,0.64
28,Liver Cancer,0.60
29,Cervical Cancer,0.60
30,Drug Use,0.58
31,Drownings,0.57
32,Oesophagus Cancer,0.51
33,Tuberculosis,0.48
34,Violence,0.47
35,Skin Cancers,0.45
36,Other Neoplasms,0.40
37,Uterin Cancer,0.40
38,Parkinson's Disease,0.35
39,Congenital Anomalies,0.25
40,Rheumatic Heart Disease,0.22
41,Epilepsy,0.16
42,Skin Disease,0.12
43,Endocrine Disorders,0.12
44,Fires,0.11
45,HIV/AIDS,0.09
46,Asthma,0.09
47,Diarrhoeal diseases,0.08
48,Multiple Sclerosis,0.06
49,Rheumatoid Arthritis,0.06
