,DeathCause,Percentage
0,Coronary Heart Disease,18.31
1,Stroke,7.67
2,Lung Cancers,7.55
3,Alzheimers & Dementia,7.52
4,Lung Disease,6.72
5,Colon-Rectum Cancers,4.10
6,Influenza and Pneumonia,3.48
7,Breast Cancer,3.15
8,Diabetes Mellitus,2.72
9,Other Injuries,2.63
10,Pancreas Cancer,2.54
11,Suicide,2.38
12,Liver Disease,2.20
13,Kidney Disease,2.02
14,Falls,1.80
15,Lymphomas,1.80
16,Prostate Cancer,1.71
17,Leukemia,1.62
18,Liver Cancer,1.53
19,Parkinson's Disease,1.50
20,Stomach Cancer,1.47
21,Other Neoplasms,1.28
22,Bladder Cancer,1.22
23,Endocrine Disorders,1.16
24,Inflammatory/Heart,1.16
25,Hypertension,1.10
26,Ovary Cancer,1.04
27,Road Traffic Accidents,0.95
28,Oesophagus Cancer,0.89
29,Skin Cancers,0.76
30,Oral Cancer,0.61
31,Epilepsy,0.55
32,Uterin Cancer,0.52
33,Alcohol,0.52
34,Rheumatic Heart Disease,0.52
35,Congenital Anomalies,0.37
36,Malnutrition,0.34
37,Drug Use,0.28
38,Cervical Cancer,0.24
39,Anemia,0.21
40,Encephalitis,0.21
41,Asthma,0.21
42,Peptic Ulcer Disease,0.18
43,Multiple Sclerosis,0.18
44,HIV/AIDS,0.15
45,Diarrhoeal diseases,0.12
46,Schizophrenia,0.12
47,Low Birth Weight,0.12
48,Skin Disease,0.12
49,Fires,0.06
