,DeathCause,Percentage
0,Coronary Heart Disease,24.69
1,Influenza and Pneumonia,9.88
2,Stroke,9.80
3,HIV/AIDS,4.99
4,Road Traffic Accidents,4.87
5,Alzheimers & Dementia,4.84
6,Lung Disease,3.48
7,Lung Cancers,3.36
8,Diabetes Mellitus,3.29
9,Kidney Disease,2.46
10,Breast Cancer,1.99
11,Colon-Rectum Cancers,1.89
12,Liver Disease,1.76
13,Liver Cancer,1.40
14,Other Injuries,1.32
15,Suicide,1.23
16,Congenital Anomalies,1.01
17,Inflammatory/Heart,0.96
18,Tuberculosis,0.91
19,Lymphomas,0.91
20,Violence,0.90
21,Oral Cancer,0.83
22,Peptic Ulcer Disease,0.81
23,Leukemia,0.80
24,Asthma,0.76
25,Skin Disease,0.70
26,Low Birth Weight,0.70
27,Stomach Cancer,0.67
28,Pancreas Cancer,0.65
29,Other Neoplasms,0.63
30,Ovary Cancer,0.53
31,Falls,0.49
32,Drownings,0.46
33,Cervical Cancer,0.46
34,Endocrine Disorders,0.45
35,Hypertension,0.43
36,Prostate Cancer,0.42
37,Parkinson's Disease,0.37
38,Diarrhoeal diseases,0.35
39,Rheumatic Heart Disease,0.29
40,Meningitis,0.27
41,Dengue,0.26
42,Oesophagus Cancer,0.26
43,Birth Trauma,0.25
44,Alcohol,0.25
45,Drug Use,0.24
46,Encephalitis,0.23
47,Bladder Cancer,0.22
48,Fires,0.21
49,Hepatitis B,0.18
