,DeathCause,Percentage
0,Malaria,12.87
1,Diarrhoeal diseases,11.08
2,Influenza and Pneumonia,9.03
3,Coronary Heart Disease,6.13
4,Low Birth Weight,5.78
5,Birth Trauma,5.09
6,Stroke,4.65
7,Malnutrition,3.77
8,HIV/AIDS,3.68
9,Meningitis,3.38
10,Road Traffic Accidents,3.01
11,Maternal Conditions,2.70
12,Congenital Anomalies,2.47
13,Syphilis,2.12
14,Lung Disease,1.94
15,Other Injuries,1.70
16,Liver Disease,1.63
17,Diabetes Mellitus,1.49
18,Endocrine Disorders,1.31
19,Violence,1.24
20,Kidney Disease,1.22
21,Asthma,1.02
22,Drownings,0.95
23,Alzheimers & Dementia,0.84
24,Tuberculosis,0.84
25,Cervical Cancer,0.83
26,Falls,0.79
27,Fires,0.54
28,Suicide,0.52
29,Hypertension,0.51
30,Breast Cancer,0.49
31,Stomach Cancer,0.41
32,Peptic Ulcer Disease,0.40
33,Epilepsy,0.38
34,Poisonings,0.36
35,Inflammatory/Heart,0.35
36,Rheumatic Heart Disease,0.34
37,Schistosomiasis,0.30
38,Tetanus,0.28
39,Colon-Rectum Cancers,0.28
40,Liver Cancer,0.26
41,Hepatitis B,0.26
42,Bladder Cancer,0.26
43,Lymphomas,0.25
44,Skin Disease,0.21
45,War,0.20
46,Appendicitis,0.17
47,Prostate Cancer,0.15
48,Ovary Cancer,0.14
49,Encephalitis,0.14
