,DeathCause,Percentage
0,Diabetes Mellitus,25.97
1,Coronary Heart Disease,19.91
2,Stroke,11.06
3,Lung Disease,6.55
4,Hypertension,3.15
5,Influenza and Pneumonia,2.69
6,Breast Cancer,2.06
7,Colon-Rectum Cancers,1.82
8,Road Traffic Accidents,1.76
9,Lung Cancers,1.73
10,Liver Disease,1.66
11,Kidney Disease,1.43
12,HIV/AIDS,1.38
13,Asthma,1.13
14,Suicide,1.07
15,Endocrine Disorders,0.90
16,Other Injuries,0.84
17,Stomach Cancer,0.83
18,Inflammatory/Heart,0.79
19,Congenital Anomalies,0.72
20,Lymphomas,0.70
21,Prostate Cancer,0.69
22,Other Neoplasms,0.68
23,Falls,0.62
24,Cervical Cancer,0.62
25,Pancreas Cancer,0.60
26,Oral Cancer,0.57
27,Leukemia,0.55
28,Liver Cancer,0.55
29,Skin Disease,0.54
30,Alcohol,0.53
31,Low Birth Weight,0.49
32,Epilepsy,0.45
33,Drownings,0.44
34,Alzheimers & Dementia,0.43
35,Anemia,0.39
36,Ovary Cancer,0.35
37,Encephalitis,0.34
38,Oesophagus Cancer,0.30
39,Bladder Cancer,0.27
40,Fires,0.25
41,Parkinson's Disease,0.25
42,Tuberculosis,0.23
43,Violence,0.22
44,Birth Trauma,0.22
45,Peptic Ulcer Disease,0.22
46,Diarrhoeal diseases,0.19
47,Rheumatic Heart Disease,0.16
48,Uterin Cancer,0.12
49,Drug Use,0.11
