,DeathCause,Percentage
0,Coronary Heart Disease,17.89
1,Diabetes Mellitus,17.58
2,Stroke,6.23
3,Liver Disease,4.96
4,Lung Disease,4.95
5,Kidney Disease,4.11
6,Influenza and Pneumonia,3.96
7,Violence,3.80
8,Road Traffic Accidents,2.70
9,Other Injuries,2.35
10,Congenital Anomalies,1.97
11,Endocrine Disorders,1.95
12,Hypertension,1.64
13,Malnutrition,1.39
14,Lung Cancers,1.24
15,Prostate Cancer,1.22
16,Low Birth Weight,1.22
17,Breast Cancer,1.18
18,Suicide,1.15
19,Stomach Cancer,1.15
20,Liver Cancer,1.12
21,Colon-Rectum Cancers,1.08
22,Other Neoplasms,1.04
23,Cervical Cancer,0.86
24,HIV/AIDS,0.83
25,Leukemia,0.82
26,Lymphomas,0.81
27,Pancreas Cancer,0.74
28,Alzheimers & Dementia,0.71
29,Alcohol,0.66
30,Diarrhoeal diseases,0.64
31,War,0.53
32,Falls,0.49
33,Skin Disease,0.45
34,Peptic Ulcer Disease,0.45
35,Birth Trauma,0.44
36,Ovary Cancer,0.42
37,Anemia,0.40
38,Tuberculosis,0.39
39,Drownings,0.36
40,Epilepsy,0.34
41,Skin Cancers,0.32
42,Encephalitis,0.32
43,Inflammatory/Heart,0.32
44,Parkinson's Disease,0.25
45,Rheumatoid Arthritis,0.25
46,Asthma,0.25
47,Oral Cancer,0.23
48,Oesophagus Cancer,0.20
49,Bladder Cancer,0.20
