,DeathCause,Percentage
0,Coronary Heart Disease,28.17
1,Stroke,27.70
2,Lung Cancers,5.76
3,Alzheimers & Dementia,4.85
4,Inflammatory/Heart,3.44
5,Colon-Rectum Cancers,2.86
6,Lung Disease,2.83
7,Diabetes Mellitus,2.70
8,Kidney Disease,2.00
9,Breast Cancer,1.68
10,Prostate Cancer,1.33
11,Pancreas Cancer,1.28
12,Stomach Cancer,1.28
13,Liver Cancer,1.25
14,Suicide,1.10
15,Road Traffic Accidents,0.98
16,Influenza and Pneumonia,0.94
17,Bladder Cancer,0.76
18,Parkinson's Disease,0.74
19,Liver Disease,0.67
20,Lymphomas,0.66
21,Other Injuries,0.64
22,Leukemia,0.59
23,Oral Cancer,0.54
24,Ovary Cancer,0.47
25,Hypertension,0.47
26,Falls,0.42
27,Cervical Cancer,0.40
28,Skin Cancers,0.39
29,Oesophagus Cancer,0.34
30,Uterin Cancer,0.29
31,Violence,0.27
32,Peptic Ulcer Disease,0.25
33,Drug Use,0.24
34,Asthma,0.22
35,Rheumatic Heart Disease,0.20
36,Birth Trauma,0.17
37,Alcohol,0.15
38,Low Birth Weight,0.13
39,HIV/AIDS,0.13
40,Endocrine Disorders,0.12
41,Fires,0.12
42,Drownings,0.08
43,Congenital Anomalies,0.07
44,Multiple Sclerosis,0.07
45,Epilepsy,0.05
46,Poisonings,0.05
47,Tuberculosis,0.03
48,Meningitis,0.02
49,Encephalitis,0.02
