,DeathCause,Percentage
0,HIV/AIDS,27.04
1,Tuberculosis,8.04
2,Influenza and Pneumonia,7.70
3,Malaria,6.28
4,Diarrhoeal diseases,4.80
5,Low Birth Weight,4.47
6,Birth Trauma,4.07
7,Stroke,3.90
8,Road Traffic Accidents,3.75
9,Coronary Heart Disease,3.46
10,Congenital Anomalies,2.10
11,Cervical Cancer,1.63
12,Maternal Conditions,1.63
13,Meningitis,1.41
14,Malnutrition,1.36
15,Other Injuries,1.31
16,Diabetes Mellitus,1.19
17,Syphilis,1.10
18,Alzheimers & Dementia,0.99
19,Hypertension,0.85
20,Lung Disease,0.79
21,Falls,0.73
22,Drownings,0.72
23,Endocrine Disorders,0.67
24,Liver Disease,0.64
25,Suicide,0.62
26,Lymphomas,0.60
27,Fires,0.57
28,Kidney Disease,0.54
29,Oesophagus Cancer,0.54
30,Asthma,0.44
31,Skin Disease,0.41
32,Oral Cancer,0.40
33,Poisonings,0.37
34,Peptic Ulcer Disease,0.33
35,Violence,0.32
36,Inflammatory/Heart,0.30
37,Breast Cancer,0.29
38,Leukemia,0.27
39,Liver Cancer,0.26
40,Other Neoplasms,0.24
41,Prostate Cancer,0.22
42,Epilepsy,0.21
43,Hepatitis B,0.20
44,Schistosomiasis,0.20
45,Measles,0.20
46,Tetanus,0.20
47,Pancreas Cancer,0.17
48,Lung Cancers,0.15
49,Rheumatic Heart Disease,0.15
