,DeathCause,Percentage
0,Coronary Heart Disease,14.73
1,Alzheimers & Dementia,13.11
2,Lung Cancers,9.00
3,Stroke,8.03
4,Lung Disease,7.38
5,Colon-Rectum Cancers,4.75
6,Influenza and Pneumonia,3.80
7,Breast Cancer,2.89
8,Falls,2.67
9,Prostate Cancer,2.50
10,Diabetes Mellitus,2.45
11,Pancreas Cancer,2.38
12,Lymphomas,2.03
13,Suicide,1.73
14,Oesophagus Cancer,1.69
15,Kidney Disease,1.66
16,Parkinson's Disease,1.52
17,Other Neoplasms,1.43
18,Leukemia,1.27
19,Bladder Cancer,1.19
20,Stomach Cancer,1.13
21,Other Injuries,1.11
22,Inflammatory/Heart,0.98
23,Liver Cancer,0.93
24,Ovary Cancer,0.86
25,Skin Cancers,0.82
26,Endocrine Disorders,0.78
27,Liver Disease,0.77
28,Hypertension,0.73
29,Oral Cancer,0.61
30,Road Traffic Accidents,0.47
31,Diarrhoeal diseases,0.43
32,Uterin Cancer,0.43
33,Congenital Anomalies,0.42
34,Alcohol,0.27
35,Encephalitis,0.26
36,Cervical Cancer,0.25
37,Epilepsy,0.23
38,Multiple Sclerosis,0.22
39,Skin Disease,0.21
40,Rheumatic Heart Disease,0.19
41,Anemia,0.19
42,Osteoarthritis,0.18
43,Rheumatoid Arthritis,0.17
44,Drug Use,0.16
45,Low Birth Weight,0.14
46,Asthma,0.12
47,Peptic Ulcer Disease,0.11
48,Violence,0.09
49,Schizophrenia,0.08
