,DeathCause,Percentage
0,Coronary Heart Disease,12.85
1,Stroke,9.29
2,Influenza and Pneumonia,7.92
3,Tuberculosis,6.78
4,Malaria,5.71
5,Diabetes Mellitus,4.75
6,Diarrhoeal diseases,4.26
7,Low Birth Weight,3.50
8,Lung Disease,3.13
9,Birth Trauma,3.11
10,Kidney Disease,2.69
11,Liver Disease,2.43
12,Road Traffic Accidents,2.39
13,HIV/AIDS,2.26
14,Asthma,2.08
15,Congenital Anomalies,1.97
16,Violence,1.65
17,Oral Cancer,1.52
18,Other Injuries,1.44
19,Rheumatic Heart Disease,1.23
20,Alzheimers & Dementia,1.21
21,Hypertension,1.18
22,Drownings,1.18
23,Liver Cancer,1.05
24,Suicide,0.97
25,Syphilis,0.96
26,Cervical Cancer,0.92
27,Breast Cancer,0.78
28,Peptic Ulcer Disease,0.78
29,Inflammatory/Heart,0.74
30,Meningitis,0.68
31,Maternal Conditions,0.64
32,Lymphomas,0.61
33,Lung Cancers,0.58
34,Malnutrition,0.57
35,Colon-Rectum Cancers,0.53
36,Stomach Cancer,0.49
37,Prostate Cancer,0.44
38,Endocrine Disorders,0.40
39,Leukemia,0.38
40,Skin Cancers,0.33
41,Falls,0.32
42,Fires,0.31
43,Skin Disease,0.28
44,Ovary Cancer,0.27
45,Poisonings,0.27
46,Measles,0.27
47,Encephalitis,0.26
48,Oesophagus Cancer,0.21
49,Appendicitis,0.17
