,DeathCause,Percentage
0,Coronary Heart Disease,20.38
1,Stroke,9.02
2,Alzheimers & Dementia,8.67
3,Lung Disease,6.59
4,Lung Cancers,6.47
5,Colon-Rectum Cancers,5.25
6,Influenza and Pneumonia,3.47
7,Diabetes Mellitus,3.37
8,Prostate Cancer,2.66
9,Breast Cancer,2.61
10,Suicide,2.17
11,Falls,2.12
12,Skin Cancers,2.10
13,Lymphomas,2.10
14,Pancreas Cancer,1.77
15,Leukemia,1.38
16,Stomach Cancer,1.23
17,Kidney Disease,1.22
18,Road Traffic Accidents,1.14
19,Parkinson's Disease,1.12
20,Endocrine Disorders,1.11
21,Oesophagus Cancer,1.02
22,Inflammatory/Heart,1.01
23,Liver Cancer,0.95
24,Bladder Cancer,0.84
25,Hypertension,0.80
26,Other Neoplasms,0.79
27,Congenital Anomalies,0.75
28,Other Injuries,0.74
29,Ovary Cancer,0.71
30,Liver Disease,0.65
31,Oral Cancer,0.52
32,Uterin Cancer,0.47
33,Skin Disease,0.43
34,Rheumatic Heart Disease,0.42
35,Low Birth Weight,0.36
36,Diarrhoeal diseases,0.34
37,Asthma,0.28
38,Peptic Ulcer Disease,0.28
39,Drug Use,0.26
40,Drownings,0.25
41,Epilepsy,0.25
42,Cervical Cancer,0.25
43,Violence,0.20
44,Alcohol,0.20
45,Rheumatoid Arthritis,0.18
46,Multiple Sclerosis,0.15
47,Encephalitis,0.14
48,Osteoarthritis,0.11
49,Prostatic Hypertrophy,0.08
