,DeathCause,Percentage
0,Coronary Heart Disease,16.62
1,Kidney Disease,10.61
2,Diabetes Mellitus,6.10
3,Liver Disease,5.78
4,Stroke,5.68
5,Alzheimers & Dementia,5.12
6,Influenza and Pneumonia,3.93
7,Road Traffic Accidents,3.39
8,Lung Disease,3.21
9,Violence,3.17
10,Suicide,2.79
11,Congenital Anomalies,2.30
12,Hypertension,2.19
13,Liver Cancer,1.80
14,Stomach Cancer,1.75
15,Cervical Cancer,1.68
16,Alcohol,1.67
17,Other Injuries,1.56
18,Low Birth Weight,1.40
19,Prostate Cancer,1.37
20,HIV/AIDS,1.18
21,Drownings,1.16
22,Lung Cancers,1.15
23,Falls,1.03
24,Colon-Rectum Cancers,1.02
25,Diarrhoeal diseases,0.99
26,Breast Cancer,0.96
27,Leukemia,0.81
28,Malnutrition,0.70
29,Maternal Conditions,0.68
30,Pancreas Cancer,0.67
31,Endocrine Disorders,0.65
32,Birth Trauma,0.58
33,Tuberculosis,0.58
34,Inflammatory/Heart,0.53
35,Lymphomas,0.50
36,Asthma,0.45
37,Epilepsy,0.45
38,Peptic Ulcer Disease,0.45
39,Meningitis,0.34
40,Parkinson's Disease,0.31
41,Other Neoplasms,0.25
42,Skin Cancers,0.21
43,Ovary Cancer,0.20
44,Skin Disease,0.20
45,Oral Cancer,0.19
46,Rheumatic Heart Disease,0.19
47,Appendicitis,0.17
48,Drug Use,0.15
49,Fires,0.15
