,DeathCause,Percentage
0,Coronary Heart Disease,17.42
1,Alzheimers & Dementia,10.68
2,Stroke,8.00
3,Lung Disease,7.68
4,Lung Cancers,6.69
5,Influenza and Pneumonia,5.57
6,Colon-Rectum Cancers,5.13
7,Prostate Cancer,3.43
8,Pancreas Cancer,2.24
9,Breast Cancer,2.06
10,Other Injuries,2.01
11,Diabetes Mellitus,1.99
12,Lymphomas,1.91
13,Falls,1.87
14,Suicide,1.86
15,Kidney Disease,1.51
16,Parkinson's Disease,1.32
17,Skin Cancers,1.22
18,Bladder Cancer,1.05
19,Stomach Cancer,1.03
20,Leukemia,1.03
21,Drug Use,1.02
22,Endocrine Disorders,1.00
23,Ovary Cancer,0.88
24,Other Neoplasms,0.86
25,Hypertension,0.84
26,Alcohol,0.73
27,Liver Cancer,0.72
28,Oesophagus Cancer,0.70
29,Inflammatory/Heart,0.66
30,Liver Disease,0.65
31,Oral Cancer,0.46
32,Road Traffic Accidents,0.46
33,Peptic Ulcer Disease,0.45
34,Congenital Anomalies,0.43
35,Diarrhoeal diseases,0.43
36,Uterin Cancer,0.41
37,Malnutrition,0.34
38,Skin Disease,0.34
39,Cervical Cancer,0.34
40,Multiple Sclerosis,0.33
41,Epilepsy,0.29
42,Asthma,0.25
43,Encephalitis,0.22
44,Anemia,0.20
45,Drownings,0.17
46,Rheumatic Heart Disease,0.17
47,Rheumatoid Arthritis,0.15
48,Fires,0.15
49,Violence,0.09
