,DeathCause,Percentage
0,Coronary Heart Disease,28.23
1,Road Traffic Accidents,11.37
2,Diabetes Mellitus,8.78
3,Stroke,6.58
4,Influenza and Pneumonia,4.45
5,Alzheimers & Dementia,3.86
6,Kidney Disease,2.65
7,Congenital Anomalies,2.60
8,Violence,2.25
9,Endocrine Disorders,1.91
10,Low Birth Weight,1.77
11,Liver Disease,1.75
12,Suicide,1.69
13,Lymphomas,1.40
14,Lung Disease,1.17
15,Lung Cancers,1.15
16,Drownings,1.09
17,Colon-Rectum Cancers,1.09
18,Leukemia,1.07
19,Inflammatory/Heart,1.02
20,Falls,0.87
21,Stomach Cancer,0.86
22,Breast Cancer,0.84
23,Liver Cancer,0.82
24,Other Injuries,0.69
25,HIV/AIDS,0.67
26,Birth Trauma,0.62
27,Other Neoplasms,0.61
28,Prostate Cancer,0.59
29,Encephalitis,0.57
30,Pancreas Cancer,0.53
31,Hypertension,0.53
32,Skin Disease,0.52
33,Bladder Cancer,0.46
34,Asthma,0.38
35,Epilepsy,0.38
36,Parkinson's Disease,0.34
37,Oral Cancer,0.32
38,Tuberculosis,0.30
39,Oesophagus Cancer,0.29
40,Malnutrition,0.25
41,Diarrhoeal diseases,0.24
42,Drug Use,0.23
43,Hepatitis B,0.23
44,Ovary Cancer,0.21
45,Rheumatic Heart Disease,0.21
46,Fires,0.18
47,Poisonings,0.18
48,Meningitis,0.17
49,Cervical Cancer,0.17
