,DeathCause,Percentage
0,Coronary Heart Disease,20.28
1,Stroke,9.47
2,Low Birth Weight,7.67
3,Influenza and Pneumonia,6.84
4,Diarrhoeal diseases,5.19
5,Birth Trauma,4.77
6,Lung Disease,4.48
7,Diabetes Mellitus,3.60
8,Tuberculosis,3.55
9,Liver Disease,2.56
10,Road Traffic Accidents,2.42
11,Kidney Disease,2.28
12,Congenital Anomalies,2.14
13,Hypertension,1.51
14,Breast Cancer,1.50
15,Violence,1.50
16,Alzheimers & Dementia,1.39
17,Other Injuries,1.23
18,Rheumatic Heart Disease,1.14
19,Asthma,1.07
20,Falls,0.93
21,Oral Cancer,0.91
22,Meningitis,0.85
23,Drownings,0.70
24,Maternal Conditions,0.69
25,Syphilis,0.68
26,Peptic Ulcer Disease,0.67
27,Endocrine Disorders,0.66
28,Lymphomas,0.61
29,Tetanus,0.61
30,Lung Cancers,0.56
31,Suicide,0.45
32,HIV/AIDS,0.44
33,Leukemia,0.42
34,Oesophagus Cancer,0.41
35,Colon-Rectum Cancers,0.38
36,Liver Cancer,0.38
37,Epilepsy,0.36
38,Poisonings,0.35
39,Stomach Cancer,0.31
40,Malnutrition,0.30
41,Fires,0.30
42,Ovary Cancer,0.27
43,Encephalitis,0.26
44,Inflammatory/Heart,0.25
45,Cervical Cancer,0.24
46,Hepatitis B,0.24
47,Other Neoplasms,0.22
48,Bladder Cancer,0.22
49,Appendicitis,0.21
