,DeathCause,Percentage
0,Influenza and Pneumonia,15.32
1,Coronary Heart Disease,14.43
2,Stroke,5.92
3,Liver Disease,5.82
4,Kidney Disease,5.56
5,Alzheimers & Dementia,5.20
6,Diabetes Mellitus,4.08
7,Lung Disease,3.30
8,Road Traffic Accidents,2.82
9,Other Injuries,2.68
10,Stomach Cancer,2.55
11,Violence,2.49
12,Lung Cancers,1.81
13,Congenital Anomalies,1.81
14,Prostate Cancer,1.60
15,HIV/AIDS,1.48
16,Colon-Rectum Cancers,1.34
17,Liver Cancer,1.29
18,Low Birth Weight,1.26
19,Cervical Cancer,1.13
20,Malnutrition,1.13
21,Tuberculosis,1.06
22,Falls,1.06
23,Suicide,1.06
24,Lymphomas,1.02
25,Pancreas Cancer,0.94
26,Breast Cancer,0.86
27,Diarrhoeal diseases,0.83
28,Drownings,0.79
29,Leukemia,0.73
30,Hypertension,0.73
31,Inflammatory/Heart,0.59
32,Parkinson's Disease,0.55
33,Peptic Ulcer Disease,0.55
34,Birth Trauma,0.50
35,Drug Use,0.46
36,Endocrine Disorders,0.41
37,Ovary Cancer,0.35
38,Fires,0.33
39,Maternal Conditions,0.32
40,Alcohol,0.30
41,Rheumatic Heart Disease,0.30
42,Other Neoplasms,0.28
43,Skin Disease,0.28
44,Skin Cancers,0.27
45,Bladder Cancer,0.27
46,Meningitis,0.25
47,Encephalitis,0.23
48,Oesophagus Cancer,0.23
49,Appendicitis,0.22
