,DeathCause,Percentage
0,Coronary Heart Disease,35.27
1,Stroke,9.76
2,Lung Cancers,7.37
3,Influenza and Pneumonia,4.78
4,Lung Disease,4.54
5,Colon-Rectum Cancers,3.99
6,Diabetes Mellitus,2.52
7,Breast Cancer,2.05
8,Liver Disease,1.88
9,Stomach Cancer,1.79
10,Suicide,1.79
11,Other Neoplasms,1.68
12,Prostate Cancer,1.58
13,Pancreas Cancer,1.56
14,Falls,1.40
15,Bladder Cancer,1.23
16,Inflammatory/Heart,1.19
17,Lymphomas,1.12
18,Alcohol,1.05
19,Road Traffic Accidents,1.00
20,Leukemia,0.95
21,Oral Cancer,0.89
22,Kidney Disease,0.85
23,Ovary Cancer,0.84
24,Alzheimers & Dementia,0.83
25,Hypertension,0.79
26,Skin Cancers,0.69
27,Peptic Ulcer Disease,0.67
28,Liver Cancer,0.63
29,Cervical Cancer,0.61
30,Other Injuries,0.58
31,Oesophagus Cancer,0.50
32,Uterin Cancer,0.48
33,Parkinson's Disease,0.31
34,Congenital Anomalies,0.27
35,Epilepsy,0.24
36,Rheumatic Heart Disease,0.23
37,Drownings,0.23
38,Low Birth Weight,0.18
39,Tuberculosis,0.17
40,Drug Use,0.17
41,Asthma,0.16
42,Endocrine Disorders,0.15
43,Fires,0.15
44,Diarrhoeal diseases,0.13
45,Multiple Sclerosis,0.12
46,Violence,0.10
47,Rheumatoid Arthritis,0.10
48,Encephalitis,0.09
49,Skin Disease,0.07
