,DeathCause,Percentage
0,Stroke,13.91
1,Coronary Heart Disease,13.44
2,Influenza and Pneumonia,9.04
3,Alzheimers & Dementia,7.02
4,Lung Disease,5.27
5,Diabetes Mellitus,5.23
6,Colon-Rectum Cancers,4.89
7,Lung Cancers,4.62
8,Stomach Cancer,2.94
9,Prostate Cancer,2.31
10,Breast Cancer,2.14
11,Kidney Disease,2.11
12,Endocrine Disorders,1.91
13,Lymphomas,1.70
14,Pancreas Cancer,1.61
15,Suicide,1.61
16,Liver Disease,1.55
17,Hypertension,1.52
18,Parkinson's Disease,1.40
19,Other Injuries,1.26
20,Liver Cancer,1.23
21,Bladder Cancer,1.22
22,Leukemia,1.09
23,Oral Cancer,0.91
24,Road Traffic Accidents,0.85
25,Falls,0.84
26,Inflammatory/Heart,0.71
27,Oesophagus Cancer,0.70
28,Other Neoplasms,0.69
29,Skin Cancers,0.59
30,HIV/AIDS,0.58
31,Ovary Cancer,0.45
32,Encephalitis,0.45
33,Epilepsy,0.44
34,Cervical Cancer,0.42
35,Uterin Cancer,0.34
36,Peptic Ulcer Disease,0.26
37,Tuberculosis,0.26
38,Diarrhoeal diseases,0.23
39,Anemia,0.21
40,Alcohol,0.21
41,Rheumatic Heart Disease,0.20
42,Asthma,0.20
43,Congenital Anomalies,0.19
44,Skin Disease,0.14
45,Violence,0.14
46,Drug Use,0.13
47,Rheumatoid Arthritis,0.10
48,Drownings,0.09
49,Fires,0.09
