,DeathCause,Percentage
0,Coronary Heart Disease,34.84
1,Stroke,18.48
2,Lung Cancers,4.44
3,Hypertension,3.83
4,Liver Disease,3.75
5,Lung Disease,3.13
6,Influenza and Pneumonia,2.94
7,Colon-Rectum Cancers,2.93
8,Kidney Disease,2.73
9,Inflammatory/Heart,1.78
10,Breast Cancer,1.62
11,Stomach Cancer,1.54
12,Liver Cancer,1.35
13,Pancreas Cancer,1.25
14,Diabetes Mellitus,1.16
15,Prostate Cancer,1.06
16,Oral Cancer,0.97
17,Alzheimers & Dementia,0.94
18,Other Injuries,0.93
19,Suicide,0.88
20,Cervical Cancer,0.85
21,Road Traffic Accidents,0.78
22,Bladder Cancer,0.73
23,Falls,0.63
24,Lymphomas,0.59
25,Leukemia,0.58
26,Ovary Cancer,0.47
27,Skin Cancers,0.45
28,Tuberculosis,0.44
29,Oesophagus Cancer,0.35
30,Drug Use,0.29
31,Parkinson's Disease,0.27
32,Encephalitis,0.27
33,Drownings,0.26
34,Alcohol,0.26
35,Peptic Ulcer Disease,0.23
36,Congenital Anomalies,0.20
37,Low Birth Weight,0.17
38,Uterin Cancer,0.17
39,Fires,0.17
40,Rheumatic Heart Disease,0.16
41,Epilepsy,0.14
42,Violence,0.13
43,Other Neoplasms,0.12
44,Asthma,0.11
45,HIV/AIDS,0.10
46,Endocrine Disorders,0.08
47,Diarrhoeal diseases,0.08
48,Malnutrition,0.06
49,Prostatic Hypertrophy,0.05
