,DeathCause,Percentage
0,Influenza and Pneumonia,11.77
1,Stroke,8.75
2,Coronary Heart Disease,7.75
3,Road Traffic Accidents,7.24
4,Liver Disease,6.24
5,Lung Disease,5.23
6,HIV/AIDS,4.73
7,Kidney Disease,3.92
8,Diarrhoeal diseases,3.32
9,Low Birth Weight,3.32
10,Birth Trauma,2.92
11,Congenital Anomalies,2.82
12,Measles,2.41
13,Malnutrition,2.31
14,Alzheimers & Dementia,1.71
15,Asthma,1.61
16,Lung Cancers,1.51
17,Violence,1.41
18,Stomach Cancer,1.41
19,Falls,1.41
20,Diabetes Mellitus,1.31
21,Other Injuries,1.21
22,Endocrine Disorders,1.21
23,Cervical Cancer,1.11
24,Maternal Conditions,0.91
25,Colon-Rectum Cancers,0.91
26,Breast Cancer,0.80
27,Meningitis,0.80
28,Tuberculosis,0.80
29,Prostate Cancer,0.60
30,Rheumatic Heart Disease,0.60
31,Inflammatory/Heart,0.60
32,Suicide,0.50
33,Hypertension,0.50
34,Lymphomas,0.50
35,Drownings,0.50
36,Bladder Cancer,0.40
37,Leukemia,0.40
38,Epilepsy,0.40
39,Pancreas Cancer,0.40
40,Peptic Ulcer Disease,0.40
41,Oesophagus Cancer,0.40
42,Skin Disease,0.30
43,Encephalitis,0.30
44,Tetanus,0.20
45,Alcohol,0.20
46,Appendicitis,0.20
47,Liver Cancer,0.20
48,Hepatitis B,0.20
49,Poisonings,0.20
