,DeathCause,Percentage
0,Coronary Heart Disease,16.22
1,Hypertension,9.65
2,Influenza and Pneumonia,8.81
3,Stroke,7.55
4,Kidney Disease,6.43
5,Alzheimers & Dementia,5.03
6,Liver Disease,3.78
7,Diabetes Mellitus,2.94
8,Lung Disease,2.94
9,Prostate Cancer,2.66
10,Colon-Rectum Cancers,2.38
11,Lung Cancers,1.96
12,Oral Cancer,1.82
13,Inflammatory/Heart,1.68
14,Drownings,1.68
15,Breast Cancer,1.68
16,Suicide,1.26
17,Violence,1.26
18,Cervical Cancer,1.12
19,Asthma,1.12
20,Peptic Ulcer Disease,1.12
21,Road Traffic Accidents,0.98
22,Falls,0.98
23,Congenital Anomalies,0.98
24,Other Injuries,0.98
25,Lymphomas,0.98
26,Leukemia,0.98
27,Endocrine Disorders,0.98
28,Low Birth Weight,0.84
29,Pancreas Cancer,0.84
30,Stomach Cancer,0.70
31,Oesophagus Cancer,0.70
32,Liver Cancer,0.70
33,Fires,0.56
34,Meningitis,0.56
35,Bladder Cancer,0.56
36,Ovary Cancer,0.42
37,Appendicitis,0.42
38,HIV/AIDS,0.42
39,Diarrhoeal diseases,0.28
40,Rheumatic Heart Disease,0.28
41,Birth Trauma,0.28
42,Parkinson's Disease,0.28
43,Drug Use,0.28
44,Alcohol,0.28
45,Other Neoplasms,0.14
46,Skin Disease,0.14
47,Poisonings,0.14
48,Epilepsy,0.14
49,Skin Cancers,0.14
