,DeathCause,Percentage
0,Influenza and Pneumonia,24.00
1,Coronary Heart Disease,18.43
2,Stroke,8.60
3,Lung Cancers,7.42
4,Colon-Rectum Cancers,5.12
5,Liver Cancer,3.25
6,Kidney Disease,3.04
7,Breast Cancer,2.61
8,Lung Disease,2.33
9,Hypertension,2.27
10,Suicide,2.18
11,Stomach Cancer,1.96
12,Pancreas Cancer,1.86
13,Diabetes Mellitus,1.57
14,Oral Cancer,1.42
15,Lymphomas,1.33
16,Prostate Cancer,1.16
17,Inflammatory/Heart,0.86
18,Liver Disease,0.83
19,Leukemia,0.83
20,Falls,0.80
21,Road Traffic Accidents,0.74
22,Ovary Cancer,0.74
23,Skin Disease,0.71
24,Oesophagus Cancer,0.63
25,Cervical Cancer,0.52
26,Bladder Cancer,0.48
27,Other Neoplasms,0.47
28,Uterin Cancer,0.41
29,Parkinson's Disease,0.36
30,Tuberculosis,0.30
31,Congenital Anomalies,0.29
32,HIV/AIDS,0.25
33,Other Injuries,0.25
34,Asthma,0.24
35,Peptic Ulcer Disease,0.23
36,Diarrhoeal diseases,0.19
37,Skin Cancers,0.19
38,Rheumatic Heart Disease,0.14
39,Endocrine Disorders,0.14
40,Encephalitis,0.14
41,Alzheimers & Dementia,0.13
42,Low Birth Weight,0.11
43,Epilepsy,0.09
44,Drug Use,0.07
45,Violence,0.05
46,Alcohol,0.05
47,Drownings,0.04
48,Dengue,0.03
49,Fires,0.02
