,DeathCause,Percentage
0,Coronary Heart Disease,22.64
1,Stroke,9.89
2,Diabetes Mellitus,9.75
3,Alzheimers & Dementia,6.22
4,Asthma,4.92
5,Liver Disease,4.37
6,Lung Disease,4.15
7,Kidney Disease,4.13
8,Influenza and Pneumonia,3.83
9,Road Traffic Accidents,2.82
10,Suicide,2.39
11,Falls,1.94
12,Inflammatory/Heart,1.74
13,Oral Cancer,1.55
14,Hypertension,1.55
15,Other Injuries,1.33
16,Drownings,1.20
17,Lung Cancers,1.06
18,Breast Cancer,0.98
19,Tuberculosis,0.98
20,Congenital Anomalies,0.97
21,Stomach Cancer,0.94
22,Oesophagus Cancer,0.94
23,Leukemia,0.63
24,Liver Cancer,0.60
25,Diarrhoeal diseases,0.52
26,Low Birth Weight,0.51
27,Endocrine Disorders,0.50
28,Cervical Cancer,0.50
29,Violence,0.50
30,Parkinson's Disease,0.50
31,Lymphomas,0.49
32,Meningitis,0.44
33,Fires,0.43
34,Ovary Cancer,0.37
35,Colon-Rectum Cancers,0.37
36,Rheumatic Heart Disease,0.34
37,Epilepsy,0.33
38,Alcohol,0.29
39,Encephalitis,0.29
40,Dengue,0.27
41,Birth Trauma,0.19
42,Skin Cancers,0.18
43,Bladder Cancer,0.17
44,Prostate Cancer,0.17
45,Malnutrition,0.14
46,Drug Use,0.13
47,Pancreas Cancer,0.13
48,Peptic Ulcer Disease,0.10
49,HIV/AIDS,0.09
